model,resource,oracle_score,source_sd,oracle_minus_median,mean_sources,n_dataset_cells
XLM-R,HRL,71.96835055315493,14.3979597420751,16.21205418838069,55.625,8
XLM-R,LRL,56.121748087105566,9.216603490315224,19.070124298556387,51.55555555555556,9
XLM-R,MRL,73.25080879256353,14.173990987764205,17.090423019249403,55.625,8
mT5,HRL,65.19498907441216,11.537795321728618,15.58834627980917,51.25,8
mT5,LRL,53.845972575974095,8.25709336290823,12.608278764303959,47.666666666666664,9
mT5,MRL,63.766172827467166,11.409093406056915,15.99652808663363,51.25,8
