model,model_name,method,method_type,outcome,mean,ci_lower,ci_upper,n_units,outcome_name,cross_task_comparability,weighting
mt5,mT5,ASJP,Individual,performance_loss_pct,39.60424455054033,38.07117805398226,41.18171101858894,1380,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
mt5,mT5,ASJP,Individual,raw_oracle_gap_points,11.322812319282107,10.825485874243709,11.844954295026053,1380,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
mt5,mT5,Composite-Equal,Composite,performance_loss_pct,27.74582339398947,26.518375332657886,28.965280218392188,1380,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
mt5,mT5,Composite-Equal,Composite,raw_oracle_gap_points,8.683605126980241,8.193053837317027,9.18968061990842,1380,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
mt5,mT5,Composite-RRF,Composite,performance_loss_pct,28.232362687284237,26.990535242668933,29.484665882512196,1380,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
mt5,mT5,Composite-RRF,Composite,raw_oracle_gap_points,8.761632738226776,8.282915863705513,9.252649719563996,1380,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
mt5,mT5,Genetic,Individual,performance_loss_pct,41.5738148640591,40.044287265021865,43.115854098011056,1380,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
mt5,mT5,Genetic,Individual,raw_oracle_gap_points,11.778830861270198,11.289645397161971,12.286130166416728,1380,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
mt5,mT5,Geographic,Individual,performance_loss_pct,36.754270237368374,35.242583951286846,38.26382410774781,1380,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
mt5,mT5,Geographic,Individual,raw_oracle_gap_points,10.878654811381272,10.36064944146123,11.409735250977477,1380,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
mt5,mT5,LightGBM,Trained,performance_loss_pct,37.383616273830874,35.93968911175561,38.83597712549362,1380,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
mt5,mT5,LightGBM,Trained,raw_oracle_gap_points,10.946787011918678,10.446561230784452,11.457911878727712,1380,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
mt5,mT5,MLP,Trained,performance_loss_pct,32.494330053340526,31.126101296170056,33.88849555757748,1380,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
mt5,mT5,MLP,Trained,raw_oracle_gap_points,9.729036165830287,9.22379150405295,10.24978536366349,1380,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
mt5,mT5,Script,Individual,performance_loss_pct,38.19935289101116,36.84238425854456,39.57819502833874,1380,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
mt5,mT5,Script,Individual,raw_oracle_gap_points,11.136681703468842,10.672946735021988,11.620961511117967,1380,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
mt5,mT5,Typological,Individual,performance_loss_pct,40.08318798908012,38.606584854755084,41.530139566604035,1380,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
mt5,mT5,Typological,Individual,raw_oracle_gap_points,11.78189423628841,11.275314705547798,12.30998499167783,1380,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
mt5,mT5,Wikipedia size,Individual,performance_loss_pct,43.053533809701015,41.693661250611676,44.44073792066729,1380,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
mt5,mT5,Wikipedia size,Individual,raw_oracle_gap_points,12.540013853479683,12.054350772133908,13.038902725967159,1380,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
