dataset,task,model,model_name,metric,metric_name,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units,outcome_name,comparison_family,difference_definition,negative_difference_favours,positive_difference_favours,holm_p_value,cross_task_comparability
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-RRF,LightGBM,performance_loss_pct,3.430569164606302,-3.748472979270457,10.943174301132327,0.34778261086945655,19,PL (%),All methods within held-out task,method_a minus method_b,Composite-RRF,LightGBM,1.0,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-RRF,MLP,performance_loss_pct,2.0318456237484734,-2.272800739087088,8.597513873135274,0.5996700164991751,19,PL (%),All methods within held-out task,method_a minus method_b,Composite-RRF,MLP,1.0,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Script,performance_loss_pct,0.19044896445149898,-5.154668117584102,6.478007289152943,0.9914504274786261,19,PL (%),All methods within held-out task,method_a minus method_b,Composite-RRF,Script,1.0,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Typological,performance_loss_pct,-3.2424083310893255,-8.68097555073988,0.6836438497451492,0.13419329033548322,19,PL (%),All methods within held-out task,method_a minus method_b,Composite-RRF,Typological,1.0,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Wikipedia size,performance_loss_pct,-0.015104780289294939,-5.700972591927573,7.288566610118729,0.9198540072996351,19,PL (%),All methods within held-out task,method_a minus method_b,Composite-RRF,Wikipedia size,1.0,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Genetic,Geographic,performance_loss_pct,-1.8406426795633914,-4.127698236575435,0.26796449409662665,0.09399530023498825,19,PL (%),All methods within held-out task,method_a minus method_b,Genetic,Geographic,1.0,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Genetic,LightGBM,performance_loss_pct,-1.9585169940369236,-6.486915399052464,0.6550159495764456,0.4885755712214389,19,PL (%),All methods within held-out task,method_a minus method_b,Genetic,LightGBM,1.0,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Genetic,MLP,performance_loss_pct,-3.3572405348947525,-7.104944693362016,-0.20318109919203264,0.0343982800859957,19,PL (%),All methods within held-out task,method_a minus method_b,Genetic,MLP,1.0,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Genetic,Script,performance_loss_pct,-5.198637194191727,-9.081613580741852,-1.6637616453626802,0.0022998850057497125,19,PL (%),All methods within held-out task,method_a minus method_b,Genetic,Script,0.09659517024148792,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Genetic,Typological,performance_loss_pct,-8.631494489732551,-16.835894122617166,-2.1097584333193318,0.0028998550072496373,19,PL (%),All methods within held-out task,method_a minus method_b,Genetic,Typological,0.11889405529723512,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Genetic,Wikipedia size,performance_loss_pct,-5.40419093893252,-10.41591505472,-1.2105045500557856,0.009299535023248838,19,PL (%),All methods within held-out task,method_a minus method_b,Genetic,Wikipedia size,0.3626818659067047,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Geographic,LightGBM,performance_loss_pct,-0.11787431447353242,-5.52850117340636,4.004459800445538,0.9709514524273787,19,PL (%),All methods within held-out task,method_a minus method_b,Geographic,LightGBM,1.0,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Geographic,MLP,performance_loss_pct,-1.516597855331361,-4.046496652999789,0.3558107170101832,0.1407929603519824,19,PL (%),All methods within held-out task,method_a minus method_b,Geographic,MLP,1.0,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Geographic,Script,performance_loss_pct,-3.3579945146283348,-7.0516435281977765,-0.445144618304811,0.0199990000499975,19,PL (%),All methods within held-out task,method_a minus method_b,Geographic,Script,0.6999650017499125,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Geographic,Typological,performance_loss_pct,-6.790851810169158,-14.600476693568227,-0.6145795002180005,0.02369881505924704,19,PL (%),All methods within held-out task,method_a minus method_b,Geographic,Typological,0.7820608969551524,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Geographic,Wikipedia size,performance_loss_pct,-3.5635482593691292,-7.804184596689988,0.22752760454196197,0.06889655517224139,19,PL (%),All methods within held-out task,method_a minus method_b,Geographic,Wikipedia size,1.0,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,LightGBM,MLP,performance_loss_pct,-1.3987235408578291,-6.332188508926238,4.028130307919413,0.5770711464426779,19,PL (%),All methods within held-out task,method_a minus method_b,LightGBM,MLP,1.0,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,LightGBM,Script,performance_loss_pct,-3.2401202001548026,-8.79336861297931,3.6642159239625225,0.30668466576671166,19,PL (%),All methods within held-out task,method_a minus method_b,LightGBM,Script,1.0,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,LightGBM,Typological,performance_loss_pct,-6.672977495695628,-15.905873863180462,1.856421982796101,0.12849357532123393,19,PL (%),All methods within held-out task,method_a minus method_b,LightGBM,Typological,1.0,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,LightGBM,Wikipedia size,performance_loss_pct,-3.445673944895596,-9.711195857706892,3.2802918497784495,0.2945852707364632,19,PL (%),All methods within held-out task,method_a minus method_b,LightGBM,Wikipedia size,1.0,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,MLP,Script,performance_loss_pct,-1.8413966592969742,-6.226179924863682,2.284189311712679,0.392280385980701,19,PL (%),All methods within held-out task,method_a minus method_b,MLP,Script,1.0,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,MLP,Typological,performance_loss_pct,-5.274253954837797,-13.145043645149292,1.1640212815395465,0.1319934003299835,19,PL (%),All methods within held-out task,method_a minus method_b,MLP,Typological,1.0,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,MLP,Wikipedia size,performance_loss_pct,-2.046950404037768,-4.853234507222095,0.8952010925314398,0.17589120543972803,19,PL (%),All methods within held-out task,method_a minus method_b,MLP,Wikipedia size,1.0,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Script,Typological,performance_loss_pct,-3.4328572955408245,-10.857512339793795,2.8438145336924223,0.3289835508224589,19,PL (%),All methods within held-out task,method_a minus method_b,Script,Typological,1.0,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Script,Wikipedia size,performance_loss_pct,-0.20555374474079385,-5.205039333096135,4.4036736376963495,0.952652367381631,19,PL (%),All methods within held-out task,method_a minus method_b,Script,Wikipedia size,1.0,scale-free; suitable for cross-task aggregation
