dataset,task,model,model_name,metric,metric_name,method,method_type,outcome,mean,ci_lower,ci_upper,n_units,outcome_name,cross_task_comparability
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Composite,raw_oracle_gap_points,7.965286658578619,3.6649631684681876,13.763037498871256,19,Raw gap,task-metric points; cross-task averages are secondary descriptive results
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Individual,performance_loss_pct,13.959371598391796,7.858391674358137,20.41814090320067,19,PL (%),scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Individual,raw_oracle_gap_points,6.96262464594229,4.019281402206831,10.089741147400842,19,Raw gap,task-metric points; cross-task averages are secondary descriptive results
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,Individual,performance_loss_pct,11.934813741839323,6.364891348151141,17.95407592883615,19,PL (%),scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,Individual,raw_oracle_gap_points,6.281319959830892,3.3100476604869287,9.685120165435091,19,Raw gap,task-metric points; cross-task averages are secondary descriptive results
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM,Trained,performance_loss_pct,10.673122956105615,5.4712130950776805,16.582314675765005,19,PL (%),scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM,Trained,raw_oracle_gap_points,5.198182955060425,2.7803337327062643,7.858569367794902,19,Raw gap,task-metric points; cross-task averages are secondary descriptive results
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,MLP,Trained,performance_loss_pct,11.05271638222941,5.453345138770396,17.30741553885931,19,PL (%),scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,MLP,Trained,raw_oracle_gap_points,5.29137369240753,2.7443978820990704,8.112523122874531,19,Raw gap,task-metric points; cross-task averages are secondary descriptive results
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Script,Individual,performance_loss_pct,22.40608718907157,15.44866557615324,30.38654074829155,19,PL (%),scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Script,Individual,raw_oracle_gap_points,12.39777896404559,8.02350640922737,17.91284304230286,19,Raw gap,task-metric points; cross-task averages are secondary descriptive results
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Typological,Individual,performance_loss_pct,22.687826134339172,14.568972711048723,31.592301004421017,19,PL (%),scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Typological,Individual,raw_oracle_gap_points,12.658212365394496,7.494883379066683,18.811797595045718,19,Raw gap,task-metric points; cross-task averages are secondary descriptive results
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Wikipedia size,Individual,performance_loss_pct,26.896337129116727,18.393935389289187,35.62974585071222,19,PL (%),scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Wikipedia size,Individual,raw_oracle_gap_points,15.06640949174673,9.696253223097445,21.145505129695636,19,Raw gap,task-metric points; cross-task averages are secondary descriptive results
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,ASJP,Individual,performance_loss_pct,22.3240545996518,17.16579224185998,27.754035966044803,87,PL (%),scale-free; suitable for cross-task aggregation
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,ASJP,Individual,raw_oracle_gap_points,2.381037336642971,1.666838788082266,3.214758701054713,87,Raw gap,task-metric points; cross-task averages are secondary descriptive results
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Composite-Equal,Composite,performance_loss_pct,25.404283807311614,19.930698771477008,31.030081433424698,87,PL (%),scale-free; suitable for cross-task aggregation
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Composite-Equal,Composite,raw_oracle_gap_points,2.904035203278959,2.0910585984366166,3.805512437227232,87,Raw gap,task-metric points; cross-task averages are secondary descriptive results
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Composite-RRF,Composite,performance_loss_pct,26.192028330430354,20.466657713446974,32.11633650431118,87,PL (%),scale-free; suitable for cross-task aggregation
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Composite-RRF,Composite,raw_oracle_gap_points,3.070568606215849,2.1612731553538014,4.088051379166914,87,Raw gap,task-metric points; cross-task averages are secondary descriptive results
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Genetic,Individual,performance_loss_pct,24.74631882538746,19.643991925557213,30.077064642609262,87,PL (%),scale-free; suitable for cross-task aggregation
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Genetic,Individual,raw_oracle_gap_points,3.0729802960664774,2.157670509394813,4.120559181183793,87,Raw gap,task-metric points; cross-task averages are secondary descriptive results
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Geographic,Individual,performance_loss_pct,29.57207820348583,23.472051014652568,35.80442216735118,87,PL (%),scale-free; suitable for cross-task aggregation
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Geographic,Individual,raw_oracle_gap_points,3.5831117601701363,2.5743687235069337,4.6932250692426,87,Raw gap,task-metric points; cross-task averages are secondary descriptive results
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,LightGBM,Trained,performance_loss_pct,25.00452626417964,19.312433603689882,31.04170758304169,87,PL (%),scale-free; suitable for cross-task aggregation
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,LightGBM,Trained,raw_oracle_gap_points,2.5870425511442,1.7657067466181053,3.538416873842663,87,Raw gap,task-metric points; cross-task averages are secondary descriptive results
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,MLP,Trained,performance_loss_pct,27.08415803453911,21.06758978626139,33.20063812640408,87,PL (%),scale-free; suitable for cross-task aggregation
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,MLP,Trained,raw_oracle_gap_points,2.9144016596153173,2.07837716245655,3.8297535270672487,87,Raw gap,task-metric points; cross-task averages are secondary descriptive results
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Script,Individual,performance_loss_pct,38.90906362498874,32.51108837037208,45.2275690120274,87,PL (%),scale-free; suitable for cross-task aggregation
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Script,Individual,raw_oracle_gap_points,5.07004755775452,3.8054141075786916,6.44739522230584,87,Raw gap,task-metric points; cross-task averages are secondary descriptive results
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Typological,Individual,performance_loss_pct,33.08740545759166,27.08835846974333,39.2209593122369,87,PL (%),scale-free; suitable for cross-task aggregation
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Typological,Individual,raw_oracle_gap_points,3.736897291084318,2.8339717250336185,4.752354654590205,87,Raw gap,task-metric points; cross-task averages are secondary descriptive results
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Wikipedia size,Individual,performance_loss_pct,63.497856211216394,58.18677593466004,68.59452539976064,87,PL (%),scale-free; suitable for cross-task aggregation
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Wikipedia size,Individual,raw_oracle_gap_points,7.983246323180873,6.64815340911597,9.363982092702033,87,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Individual,performance_loss_pct,15.807374467461107,13.14985039179376,18.737657836011735,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Individual,raw_oracle_gap_points,11.21750622097845,9.278481908590056,13.417096141925526,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite,performance_loss_pct,15.891861801232862,13.25699052554109,18.744047802627158,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite,raw_oracle_gap_points,11.360488714509001,9.340229783104137,13.620851494346999,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Composite,performance_loss_pct,15.228708710659115,12.744303843061708,17.951688467913673,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Composite,raw_oracle_gap_points,10.788020867450562,8.952439897836664,12.813681272612037,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Genetic,Individual,performance_loss_pct,17.407030485080764,14.645797143550935,20.381609120126406,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Genetic,Individual,raw_oracle_gap_points,12.642565668544648,10.507708389086243,14.931779853629207,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Geographic,Individual,performance_loss_pct,14.735394997913229,12.396555560509546,17.275576603817232,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Geographic,Individual,raw_oracle_gap_points,10.314991934135984,8.609023126187976,12.196304288701347,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,LightGBM,Trained,performance_loss_pct,16.246207628196423,13.470568011918006,19.304778381455655,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,LightGBM,Trained,raw_oracle_gap_points,11.465558054308737,9.464056529011406,13.715909334072506,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,MLP,Trained,performance_loss_pct,15.436181863492164,12.796334093772199,18.31926209908876,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,MLP,Trained,raw_oracle_gap_points,11.085630984378446,9.077083773222842,13.332349310866574,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Script,Individual,performance_loss_pct,13.000970456502964,10.819310854289032,15.433783493103215,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Script,Individual,raw_oracle_gap_points,8.860308032511588,7.358362044723902,10.545395787287488,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Typological,Individual,performance_loss_pct,17.36471419005596,14.6672747582947,20.2546050079169,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Typological,Individual,raw_oracle_gap_points,12.2875354832989,10.365867711921666,14.368551056574933,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Wikipedia size,Individual,performance_loss_pct,18.344714263838313,15.63703756992778,21.250445647802547,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Wikipedia size,Individual,raw_oracle_gap_points,13.041472900985811,11.020917985160086,15.231554051166295,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Individual,performance_loss_pct,28.487811458855198,23.83040593330371,33.29193739799881,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Individual,raw_oracle_gap_points,15.722717334800882,13.020043177332916,18.629632317163956,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
