method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources,dataset_model,task,model,model_name,metric,metric_name,method_id,method_type,method_group,target_id,performance_loss_pct,raw_oracle_gap,raw_oracle_gap_points,actual_best_performance_points,predicted_performance_points
Random,masakhaner_mt5::nya,nya,lrl,xho,lrl,swa,lrl,0.7787629602924762,0.8366831239437063,0.069225925554974,0.2794947254208199,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8366831239437063,0.0,"tsn,swa,pcm,sna,yor,xho,zul,wol,fon,ewe,bam,bbj,hau,luo,lug,mos,kin,ibo",10,0.5555555555555556,1.0,0.0,0.8073876880154686,0.0350137765300603,"tsn,pcm,sna,xho,zul,wol,bbj,hau,luo,kin",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,random,Random,Random,masakhaner_mt5::nya,6.922592555497401,0.057920163651230094,5.792016365123009,83.66831239437063,77.87629602924761
Random,masakhaner_mt5::pcm,pcm,lrl,xho,lrl,kin,lrl,0.7569447093831497,0.8401349560976066,0.0990200992241439,0.1016344456075708,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8401349560976066,0.0,"swa,tsn,sna,yor,zul,xho,wol,nya,hau,fon,bam,bbj,ewe,luo,mos,lug,ibo,kin",10,0.5555555555555556,1.0,0.0,0.8179671113362444,0.026386052146111,"swa,sna,yor,xho,wol,nya,bbj,ewe,luo,ibo",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,random,Random,Random,masakhaner_mt5::pcm,9.90200992241439,0.08319024671445685,8.319024671445685,84.01349560976065,75.69447093831498
Random,masakhaner_mt5::sna,sna,lrl,yor,lrl,nya,lrl,0.7422920553519894,0.8425038788629909,0.1189452369599097,0.0508172228037854,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8425038788629909,0.0,"bam,swa,tsn,nya,pcm,yor,zul,xho,wol,fon,hau,ewe,bbj,luo,lug,mos,ibo,kin",10,0.5555555555555556,1.0,1.0,0.8425038788629909,0.0,"bam,tsn,nya,yor,zul,xho,ewe,bbj,luo,ibo",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,random,Random,Random,masakhaner_mt5::sna,11.894523695990971,0.10021182351100155,10.021182351100155,84.2503878862991,74.22920553519894
Random,masakhaner_mt5::swa,swa,lrl,yor,lrl,nya,lrl,0.6325184019185999,0.8105279224840921,0.2196217004096931,0.2540861140189272,0.0,1.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8105279224840921,0.0,"sna,tsn,nya,pcm,xho,yor,zul,wol,fon,ewe,hau,bam,bbj,mos,luo,ibo,lug,kin",10,0.5555555555555556,1.0,1.0,0.8105279224840921,0.0,"sna,nya,pcm,yor,zul,wol,bam,bbj,mos,lug",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,random,Random,Random,masakhaner_mt5::swa,21.96217004096931,0.17800952056549224,17.800952056549225,81.0527922484092,63.25184019185998
Random,masakhaner_mt5::tsn,tsn,lrl,zul,lrl,swa,lrl,0.7269339172876698,0.7972090877628663,0.0881514919409701,0.1270430570094636,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.7972090877628663,0.0,"sna,swa,nya,pcm,xho,zul,yor,wol,mos,fon,hau,bam,ewe,bbj,luo,lug,kin,ibo",10,0.5555555555555556,1.0,0.0,0.7697370956878027,0.0344602093688566,"sna,nya,pcm,zul,yor,wol,bam,ewe,bbj,kin",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,random,Random,Random,masakhaner_mt5::tsn,8.81514919409701,0.07027517047519649,7.027517047519649,79.72090877628662,72.69339172876698
Random,masakhaner_mt5::wol,wol,lrl,yor,lrl,fon,lrl,0.63757061767703,0.7345725591763003,0.1320522258659398,0.0,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.7345725591763003,0.0,"swa,tsn,pcm,nya,sna,yor,zul,xho,ewe,fon,hau,bbj,bam,luo,mos,ibo,lug,kin",10,0.5555555555555556,1.0,0.0,0.7231750891078579,0.0155157852360054,"swa,pcm,nya,yor,zul,xho,bbj,bam,luo,lug",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,random,Random,Random,masakhaner_mt5::wol,13.20522258659398,0.09700194149927022,9.700194149927022,73.45725591763002,63.75706176770301
Random,masakhaner_mt5::xho,xho,lrl,yor,lrl,zul,lrl,0.7096560014977371,0.8435841779061822,0.1587608918185989,0.2286775026170345,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8435841779061822,0.0,"swa,tsn,nya,sna,pcm,yor,zul,wol,fon,ewe,hau,bam,bbj,luo,mos,lug,ibo,kin",10,0.5555555555555556,1.0,1.0,0.8435841779061822,0.0,"swa,nya,sna,yor,zul,wol,bam,bbj,luo,ibo",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,random,Random,Random,masakhaner_mt5::xho,15.87608918185989,0.13392817640844512,13.392817640844513,84.35841779061822,70.9656001497737
Random,masakhaner_mt5::yor,yor,lrl,xho,lrl,kin,lrl,0.7344391056318759,0.7408764598979489,0.008688836283123,0.5335808394397472,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.7408764598979489,0.0,"swa,sna,tsn,pcm,nya,xho,zul,wol,mos,ewe,fon,bam,bbj,hau,lug,luo,ibo,kin",10,0.5555555555555556,1.0,0.0,0.7353381466803087,0.0074753532031549,"swa,tsn,pcm,xho,zul,wol,bam,bbj,hau,ibo",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,random,Random,Random,masakhaner_mt5::yor,0.8688836283123,0.006437354266073059,0.6437354266073059,74.0876459897949,73.44391056318759
Random,masakhaner_mt5::zul,zul,lrl,yor,lrl,xho,lrl,0.7220067209989998,0.8896201663185034,0.1884101234048401,0.2286775026170345,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8896201663185034,0.0,"swa,sna,nya,pcm,tsn,yor,xho,wol,fon,hau,bam,ewe,bbj,ibo,luo,mos,kin,lug",10,0.5555555555555556,1.0,1.0,0.8896201663185034,0.0,"swa,nya,pcm,yor,xho,wol,ewe,bbj,ibo,kin",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,random,Random,Random,masakhaner_mt5::zul,18.84101234048401,0.16761344531950362,16.76134453195036,88.96201663185033,72.20067209989998
Genetic,masakhaner_mt5::bam,bam,lrl,ibo,lrl,kin,lrl,0.7160646903040013,0.7389785916820414,0.0310075307132837,0.4785207990443745,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.7389785916820414,0.0,"swa,tsn,sna,nya,pcm,yor,zul,xho,wol,fon,hau,ewe,bbj,luo,lug,mos,ibo,kin",10,0.5555555555555556,1.0,0.0,0.7313907376278883,0.0102680296013472,"tsn,sna,nya,yor,xho,wol,hau,ewe,bbj,ibo",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,masakhaner_mt5::bam,3.10075307132837,0.022913901378040058,2.291390137804006,73.89785916820414,71.60646903040013
Genetic,masakhaner_mt5::bbj,bbj,lrl,sna,lrl,mos,lrl,0.6421100415259405,0.7066512958862919,0.0913339503317585,0.0,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.7066512958862919,0.0,"swa,tsn,pcm,nya,sna,yor,zul,xho,wol,fon,hau,bam,ewe,luo,lug,mos,ibo,kin",10,0.5555555555555556,1.0,0.0,0.7031553202858223,0.0049472428916796,"swa,tsn,nya,sna,yor,zul,xho,lug,ibo,kin",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,masakhaner_mt5::bbj,9.133395033175852,0.06454125436035141,6.454125436035141,70.6651295886292,64.21100415259406
Genetic,masakhaner_mt5::ewe,ewe,lrl,fon,lrl,kin,lrl,0.7991718182597738,0.8068548308948001,0.0095221746723706,0.6497275923987381,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8068548308948001,0.0,"swa,sna,tsn,nya,pcm,yor,wol,xho,hau,fon,bam,bbj,luo,mos,ibo,kin,lug,zul",10,0.5555555555555556,1.0,0.0,0.7991718182597738,0.0095221746723706,"swa,sna,tsn,nya,yor,xho,hau,fon,bbj,ibo",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,masakhaner_mt5::ewe,0.95221746723706,0.007683012635026354,0.7683012635026354,80.68548308948002,79.91718182597738
Genetic,masakhaner_mt5::fon,fon,lrl,ewe,lrl,hau,lrl,0.6339784396229218,0.7309709476493796,0.1326899630393815,0.2885588807470037,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.7309709476493796,0.0,"swa,tsn,nya,sna,pcm,yor,zul,wol,xho,ewe,hau,bam,bbj,luo,mos,ibo,lug,kin",10,0.5555555555555556,1.0,1.0,0.7309709476493796,0.0,"swa,tsn,nya,sna,yor,xho,ewe,hau,bbj,ibo",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,masakhaner_mt5::fon,13.268996303938149,0.09699250802645787,9.699250802645787,73.09709476493796,63.39784396229218
Genetic,masakhaner_mt5::hau,hau,lrl,ibo,lrl,kin,lrl,0.7101431897970113,0.8159562972754614,0.1296798711300689,0.0320620978607781,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8159562972754614,0.0,"swa,tsn,sna,nya,pcm,yor,xho,zul,wol,fon,ewe,bam,bbj,lug,mos,luo,ibo,kin",10,0.5555555555555556,0.0,0.0,0.7639342759325071,0.0637558917268727,"tsn,sna,nya,yor,xho,wol,ewe,bam,bbj,ibo",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,masakhaner_mt5::hau,12.96798711300689,0.10581310747845007,10.581310747845007,81.59562972754614,71.01431897970113
Genetic,masakhaner_mt5::ibo,ibo,lrl,yor,lrl,nya,lrl,0.7092681954541626,0.8405692874718217,0.1562049601081346,0.2540861140189272,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8405692874718217,0.0,"tsn,swa,nya,sna,pcm,xho,yor,wol,fon,ewe,hau,bam,bbj,luo,lug,mos,kin,zul",10,0.5555555555555556,1.0,1.0,0.8405692874718217,0.0,"tsn,swa,nya,sna,xho,yor,hau,bbj,lug,kin",masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,single_new_gen,Individual,Individual,masakhaner_mt5::ibo,15.62049601081346,0.13130109201765905,13.130109201765904,84.05692874718217,70.92681954541627
