model,method,held_out_task,dataset,performance_col,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,n_candidates,n_fitting_tasks,n_validation_tasks,n_fitting_queries,n_validation_queries,mrr,exact_best_rank,r_precision,relevant_count,ndcg@1,precision@1,recall@1,hit@1,map@1,err@1,exact_best_hit@1,ndcg@3,precision@3,recall@3,hit@3,map@3,err@3,exact_best_hit@3,ndcg@5,precision@5,recall@5,hit@5,map@5,err@5,exact_best_hit@5,ndcg@10,precision@10,recall@10,hit@10,map@10,err@10,exact_best_hit@10
xlm-r,random,masakhaner,masakhaner,f1_score,masakhaner::nya,nya,lrl,xho,lrl,sna,lrl,0.3694470818027112,0.5369746145215419,0.311984083024301,0.05081722280378544,0.0,0.0,18,6,2,515,906,0.125,8.0,0.6,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05081722280378544,0.3333333333333333,0.1,1.0,0.1111111111111111,0.0009765625,0.0,0.17771541027588109,0.4,0.2,1.0,0.16666666666666666,0.0630500316619873,0.0,0.3635699673123521,0.6,0.6,1.0,0.29888888888888887,0.1565918573391184,1.0
xlm-r,random,masakhaner,masakhaner,f1_score,masakhaner::pcm,pcm,lrl,xho,lrl,yor,lrl,0.4578586283231666,0.729260876267579,0.3721607133697791,0.10163444560757089,0.0,0.0,18,6,2,515,906,0.125,8.0,0.6,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10163444560757089,0.3333333333333333,0.1,1.0,0.1111111111111111,0.0048828125,0.0,0.26408861622623814,0.6,0.3,1.0,0.2866666666666666,0.06723840665072203,0.0,0.46680931466957387,0.6,0.6,1.0,0.33249999999999996,0.16282616820274912,1.0
xlm-r,random,masakhaner,masakhaner,f1_score,masakhaner::sna,sna,lrl,yor,lrl,xho,lrl,0.3781543282644001,0.4379689382401189,0.13657272183746763,0.5081722280378544,0.0,0.0,18,6,2,515,906,0.2,5.0,0.7,10.0,0.8,1.0,0.1,1.0,1.0,0.2490234375,0.0,0.5081722280378544,0.6666666666666666,0.2,1.0,0.5555555555555555,0.25269031524658203,0.0,0.6577293663696722,0.8,0.4,1.0,0.6433333333333333,0.40282615946180156,1.0,0.7210826496641073,0.7,0.7,1.0,0.5380952380952381,0.4028758880375757,1.0
xlm-r,random,masakhaner,masakhaner,f1_score,masakhaner::swa,swa,lrl,yor,lrl,pcm,lrl,0.6638233998046645,0.7334543684932995,0.09493565200473826,0.5589894508416399,0.0,0.0,18,6,2,515,906,0.125,8.0,0.6,10.0,0.7,1.0,0.1,1.0,1.0,0.1240234375,0.0,0.5589894508416399,0.6666666666666666,0.2,1.0,0.5555555555555555,0.19673633575439453,0.0,0.43974986092010376,0.4,0.2,1.0,0.3333333333333333,0.19673633575439453,0.0,0.6297314515149764,0.6,0.6,1.0,0.39630952380952383,0.27976024793033616,1.0
xlm-r,random,masakhaner,masakhaner,f1_score,masakhaner::tsn,tsn,lrl,zul,lrl,nya,lrl,0.4029795688611634,0.4927299654627095,0.18214925596673204,0.2540861140189272,0.0,1.0,18,6,2,515,906,0.3333333333333333,3.0,0.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2540861140189272,0.3333333333333333,0.1,1.0,0.1111111111111111,0.3330078125,1.0,0.19988630041822897,0.2,0.1,1.0,0.06666666666666667,0.3330078125,1.0,0.31930154545243106,0.5,0.5,1.0,0.2095238095238095,0.3330153827369832,1.0
xlm-r,random,masakhaner,masakhaner,f1_score,masakhaner::wol,wol,lrl,yor,lrl,mos,lrl,0.409444948533901,0.4467214608495798,0.08344464186875176,0.5214792009556255,0.0,0.0,18,6,2,515,906,0.08333333333333333,12.0,0.4,10.0,0.9,1.0,0.1,1.0,1.0,0.4990234375,0.0,0.5214792009556255,0.6666666666666666,0.2,1.0,0.6666666666666666,0.4997572898864746,0.0,0.5307619078770914,0.6,0.3,1.0,0.55,0.5152449912857264,0.0,0.500932044492719,0.4,0.4,1.0,0.315,0.5179369988330109,0.0
xlm-r,random,masakhaner,masakhaner,f1_score,masakhaner::xho,xho,lrl,yor,lrl,zul,lrl,0.2376729104895503,0.6944197622121315,0.6577388441071671,0.40653778243028355,0.0,0.0,18,6,2,515,906,0.14285714285714285,7.0,0.6,10.0,0.8,1.0,0.1,1.0,1.0,0.2490234375,0.0,0.40653778243028355,0.3333333333333333,0.1,1.0,0.3333333333333333,0.2490234375,0.0,0.4403389620873722,0.4,0.2,1.0,0.3,0.2723081111907959,0.0,0.6433217310857776,0.6,0.6,1.0,0.3796428571428571,0.3662505723183134,1.0
xlm-r,random,masakhaner,masakhaner,f1_score,masakhaner::yor,yor,lrl,xho,lrl,ibo,lrl,0.2647212804361867,0.307247127887072,0.13840925948871868,0.10163444560757089,0.0,0.0,18,6,2,515,906,0.1,10.0,0.4,10.0,0.2,1.0,0.1,1.0,1.0,0.0029296875,0.0,0.10163444560757089,0.3333333333333333,0.1,1.0,0.3333333333333333,0.0029296875,0.0,0.34316714615588256,0.6,0.3,1.0,0.42000000000000004,0.13971021231263875,0.0,0.3829228159437106,0.4,0.4,1.0,0.25,0.18342328724711476,1.0
xlm-r,random,masakhaner,masakhaner,f1_score,masakhaner::zul,zul,lrl,yor,lrl,xho,lrl,0.3615134905870992,0.657820174689531,0.4504372098990102,0.40653778243028355,0.0,0.0,18,6,2,515,906,0.14285714285714285,7.0,0.6,10.0,0.8,1.0,0.1,1.0,1.0,0.2490234375,0.0,0.40653778243028355,0.3333333333333333,0.1,1.0,0.3333333333333333,0.2490234375,0.0,0.4231216933133428,0.4,0.2,1.0,0.3,0.2605741024017334,0.0,0.529918937443661,0.6,0.6,1.0,0.3796428571428571,0.3612734312008529,1.0
xlm-r,random,sib200,sib200,f1_score,sib200::ace,ace,lrl,fon,lrl,ban,lrl,0.237210432800295,0.6874038175794872,0.6549183656914076,0.0,0.0,0.0,175,6,2,1096,159,0.009433962264150943,106.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xlm-r,random,sib200,sib200,f1_score,sib200::acm,acm,lrl,sag,lrl,aeb,lrl,0.1376333811116419,0.8799313911611156,0.8435862358200138,0.0,0.0,0.0,175,6,2,1096,159,0.014705882352941176,68.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xlm-r,random,sib200,sib200,f1_score,sib200::acq,acq,lrl,pap,lrl,zho,lrl,0.7628270535484459,0.8750609730284528,0.12825839905941905,0.0,0.0,0.0,175,6,2,1096,159,0.006369426751592357,157.0,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09509601240491118,0.1,0.1,1.0,0.016666666666666666,0.04150390625,0.0
xlm-r,random,sib200,sib200,f1_score,sib200::aeb,aeb,lrl,nya,lrl,prs,lrl,0.0571428571428571,0.835955241341525,0.9316436403327584,0.0,0.0,0.0,175,6,2,1096,159,0.16666666666666666,6.0,0.1,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11887001550613897,0.1,0.1,1.0,0.016666666666666666,0.16650390625,1.0
xlm-r,random,sib200,sib200,f1_score,sib200::afr,afr,mrl,plt,lrl,crh,lrl,0.4422515598117437,0.8689376906057866,0.49104341474309326,0.0,0.0,0.0,175,6,2,1096,159,0.07692307692307693,13.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xlm-r,random,sib200,sib200,f1_score,sib200::ajp,ajp,lrl,nya,lrl,lao,lrl,0.0571428571428571,0.8586657602788293,0.9334515712792584,0.0,0.0,0.0,175,6,2,1096,159,0.01,100.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xlm-r,random,sib200,sib200,f1_score,sib200::als,als,lrl,fra,hrl,slv,mrl,0.8684455331089234,0.8956735941129698,0.030399535258167017,0.15245166841135635,0.0,0.0,175,6,2,1096,159,0.01020408163265306,98.0,0.3,10.0,0.3,1.0,0.1,1.0,1.0,0.0068359375,0.0,0.15245166841135635,0.3333333333333333,0.1,1.0,0.3333333333333333,0.0068359375,0.0,0.1972583566954562,0.4,0.2,1.0,0.27999999999999997,0.012849235534667968,0.0,0.2122094907876508,0.3,0.3,1.0,0.19,0.015200547967106104,0.0
