model,method,held_out_task,performance_col,n_queries,mean_candidates,n_fitting_tasks,n_validation_tasks,n_fitting_queries,n_validation_queries,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,mrr,exact_best_rank,r_precision,relevant_count,ndcg@1,precision@1,recall@1,hit@1,map@1,err@1,exact_best_hit@1,precision@3,recall@3,hit@3,map@3,err@3,exact_best_hit@3,ndcg@5,precision@5,recall@5,hit@5,map@5,err@5,exact_best_hit@5,ndcg@10,precision@10,recall@10,hit@10,map@10,err@10,exact_best_hit@10
xlm-r,lightgbm_lambdarank,masakhaner,f1_score,19,18.0,6,2,515,906,48.42886861388675,10.673122956105619,26.31578947368421,36.84210526315789,39.09793422951318,6.947368421052632,54.736842105263165,10.0,62.631578947368425,78.94736842105263,7.8947368421052655,78.94736842105263,78.94736842105263,37.62849506578947,26.31578947368421,66.66666666666666,20.000000000000004,100.0,57.60233918128653,42.90522784484844,36.84210526315789,50.855041197222874,64.21052631578948,32.10526315789474,100.0,51.982456140350884,47.42701899738557,57.89473684210527,55.85209887754296,54.736842105263165,54.736842105263165,100.0,41.090225563909776,49.35040260116656,68.42105263157895
xlm-r,mlp_listnet,masakhaner,f1_score,19,18.0,6,2,515,906,55.752019460140566,11.052716382229415,31.57894736842105,42.10526315789473,44.06223893065999,6.052631578947368,54.73684210526315,10.0,67.36842105263158,84.21052631578947,8.42105263157895,84.21052631578947,84.21052631578947,44.747121710526315,31.57894736842105,73.68421052631578,22.10526315789474,100.0,68.42105263157893,49.74760531790947,42.10526315789473,55.35061131940218,67.36842105263158,33.68421052631579,100.0,58.789473684210535,53.730187517055974,57.89473684210527,58.07847744061371,54.73684210526315,54.73684210526315,100.0,42.99874686716792,55.940528102692674,78.94736842105263
xlm-r,single_new_geo,masakhaner,f1_score,19,18.0,6,2,515,906,65.79416803835963,11.934813741839326,31.57894736842105,68.42105263157895,52.87738577212261,3.5789473684210527,66.84210526315788,10.0,60.526315789473685,78.94736842105263,7.8947368421052655,78.94736842105263,78.94736842105263,39.28351151315789,31.57894736842105,84.21052631578947,25.263157894736842,100.0,79.23976608187134,57.12590447316567,68.42105263157895,65.11512851619482,76.84210526315792,38.42105263157896,100.0,69.70175438596492,60.08220693374713,84.21052631578947,68.64599680325642,66.84210526315788,66.84210526315788,100.0,55.506265664160395,60.659270057552476,89.47368421052632
xlm-r,single_new_gen,masakhaner,f1_score,19,18.0,6,2,515,906,53.06778589823453,13.959371598391801,26.31578947368421,36.84210526315789,37.54660973701222,7.842105263157895,58.947368421052616,10.0,52.10526315789473,68.42105263157895,6.8421052631578965,68.42105263157895,68.42105263157895,31.964432565789476,26.31578947368421,73.68421052631578,22.10526315789474,94.73684210526315,66.37426900584794,40.89221180857797,36.84210526315789,49.525244569436275,67.36842105263158,33.68421052631579,100.0,57.45614035087719,42.874943662664286,47.368421052631575,55.59460197919237,58.947368421052616,58.947368421052616,100.0,44.35129490392648,45.557978109108724,63.1578947368421
xlm-r,rrf_equal,masakhaner,f1_score,19,18.0,6,2,515,906,53.92751206908627,14.655409963757055,26.31578947368421,42.10526315789473,39.55581913786248,6.894736842105263,58.42105263157894,10.0,62.10526315789473,89.47368421052632,8.947368421052634,89.47368421052632,89.47368421052632,37.44346217105263,26.31578947368421,73.68421052631578,22.10526315789474,100.0,68.71345029239765,46.415668750475895,42.10526315789473,54.52036179054617,68.42105263157896,34.21052631578948,100.0,60.175438596491226,49.7894772125101,52.63157894736842,58.849217264334484,58.42105263157894,58.42105263157894,100.0,45.66896407685881,51.73831737297393,73.68421052631578
xlm-r,single_distals_asjp,masakhaner,f1_score,19,18.0,6,2,515,906,45.16835470198018,17.329052750703934,26.31578947368421,47.368421052631575,39.43971448228414,8.105263157894736,59.473684210526315,10.0,47.368421052631575,63.1578947368421,6.315789473684212,63.1578947368421,63.1578947368421,31.19860197368421,26.31578947368421,64.91228070175437,19.473684210526322,100.0,52.92397660818713,41.737761856628616,47.368421052631575,48.35903039002415,65.26315789473685,32.631578947368425,100.0,49.91228070175438,43.96607968780206,47.368421052631575,53.67455645912796,59.473684210526315,59.473684210526315,100.0,42.7892648287385,45.899277175415456,63.1578947368421
xlm-r,composite_equal,masakhaner,f1_score,19,18.0,6,2,515,906,49.281996739573856,19.635029029154115,15.789473684210526,42.10526315789473,32.784936511716694,7.105263157894737,54.73684210526315,10.0,49.47368421052632,68.42105263157895,6.8421052631578965,68.42105263157895,68.42105263157895,26.423725328947366,15.789473684210526,70.17543859649122,21.052631578947366,94.73684210526315,62.573099415204666,40.01154105195351,42.10526315789473,50.07631093138458,67.36842105263158,33.68421052631579,100.0,55.80701754385966,42.17425282770767,47.368421052631575,54.02171479426825,54.73684210526315,54.73684210526315,100.0,41.48642439431913,44.39240524367406,73.68421052631578
xlm-r,random,masakhaner,f1_score,19,18.0,6,2,515,906,36.702286043747826,19.758543508300697,10.526315789473683,15.789473684210526,21.187723095617834,9.368421052631579,53.68421052631579,10.0,55.789473684210535,73.68421052631578,7.368421052631581,73.68421052631578,73.68421052631578,23.961759868421055,10.526315789473683,47.368421052631575,14.210526315789476,94.73684210526315,40.64327485380116,27.28560036048293,15.789473684210526,39.008353052933174,48.42105263157895,24.210526315789476,100.0,35.70175438596491,30.501765950266417,21.052631578947366,49.00766792444996,53.68421052631579,53.68421052631579,100.0,34.14285714285714,34.39045431850724,57.89473684210527
xlm-r,single_script,masakhaner,f1_score,19,18.0,6,2,515,906,36.3809455977656,22.40608718907157,0.0,10.526315789473683,13.375354865292946,10.894736842105264,50.0,10.0,33.59649122807018,73.68421052631578,7.368421052631581,73.68421052631578,73.68421052631578,11.091694078947368,0.0,63.15789473684209,18.947368421052634,89.47368421052632,56.43274853801169,18.090652383602503,10.526315789473683,36.67088410720634,54.736842105263165,27.368421052631582,94.73684210526315,46.17543859649123,21.022115853369762,26.31578947368421,44.861410574001134,50.0,50.0,100.0,34.887218045112775,24.453932189715033,36.84210526315789
xlm-r,single_new_typ,masakhaner,f1_score,19,18.0,6,2,515,906,44.87222115024849,22.68782613433918,21.052631578947366,47.368421052631575,37.82357477403917,6.526315789473684,60.526315789473685,10.0,43.68421052631579,73.68421052631578,7.368421052631581,73.68421052631578,73.68421052631578,25.84292763157895,21.052631578947366,66.66666666666666,20.0,94.73684210526315,58.77192982456138,39.296822483536964,47.368421052631575,45.41073153340176,62.10526315789474,31.05263157894737,100.0,50.5263157894737,42.50748128966335,57.89473684210527,55.48916428238627,60.526315789473685,60.526315789473685,100.0,43.7203425229741,44.64384669543652,73.68421052631578
xlm-r,single_distals_wiki_size,masakhaner,f1_score,19,18.0,6,2,515,906,27.279471019692657,26.89633712911673,10.526315789473683,21.052631578947366,22.730975165185697,9.473684210526315,52.63157894736842,10.0,27.017543859649123,52.63157894736842,5.263157894736842,52.63157894736842,52.63157894736842,12.685032894736842,10.526315789473683,43.85964912280701,13.157894736842108,84.21052631578947,35.380116959064324,18.465836880434498,21.052631578947366,30.346235228262096,47.368421052631575,23.684210526315788,100.0,33.49122807017543,20.300122884907644,21.052631578947366,40.05227591154293,52.63157894736842,52.63157894736842,100.0,32.039891395154555,25.06535761656396,57.89473684210527
xlm-r,single_new_gen,sib200,f1_score,185,175.04864864864865,6,2,1096,159,9.27321127428198,23.85584549052685,2.7027027027027026,7.027027027027027,6.12337423466305,97.06486486486486,10.324324324324326,10.0,6.972972972972973,12.972972972972974,1.2972972972972971,12.972972972972974,12.972972972972974,3.6750422297297294,2.7027027027027026,15.315315315315313,4.594594594594595,35.67567567567568,10.24024024024024,6.892961063296409,7.027027027027027,8.807002735726904,11.891891891891893,5.9459459459459465,41.08108108108108,7.268468468468468,7.640527259981895,8.108108108108109,9.715486825975205,10.324324324324326,10.324324324324326,55.67567567567567,4.907357357357358,8.137554292940427,8.64864864864865
