model,aggregation,method_a,method_b,ndcg_p_value,performance_loss_p_value
xlm-r,paired_target_queries,random,single_new_gen,0.5688183349888373,3.2841567004356723e-18
xlm-r,paired_target_queries,random,single_new_typ,1.7510337855543607e-25,0.07504136456106306
xlm-r,paired_target_queries,random,single_new_geo,2.199832255937426e-39,1.0215746754674515e-06
xlm-r,paired_target_queries,random,single_script,0.23005371347120473,2.6220943761888755e-23
xlm-r,paired_target_queries,random,single_distals_asjp,1.0334973214241808e-06,0.0037182765203107376
xlm-r,paired_target_queries,random,single_distals_wiki_size,1.728606910619592e-11,2.1192943287502054e-40
xlm-r,paired_target_queries,random,composite_equal,9.008724983989397e-64,1.777044652905952e-40
xlm-r,paired_target_queries,random,rrf_equal,3.3483657792475396e-52,5.515697755358556e-27
xlm-r,paired_target_queries,random,lightgbm_lambdarank,7.666631462666951e-21,0.0023067314071027593
xlm-r,paired_target_queries,random,mlp_listnet,1.638707865144921e-38,1.7423597215035473e-18
xlm-r,paired_target_queries,single_new_gen,single_new_typ,1.175241530166156e-22,7.865821886296697e-29
xlm-r,paired_target_queries,single_new_gen,single_new_geo,1.5640530217984065e-37,3.6803160152110203e-41
xlm-r,paired_target_queries,single_new_gen,single_script,0.7038301745333141,0.5607038694659582
xlm-r,paired_target_queries,single_new_gen,single_distals_asjp,2.1570942735595428e-11,1.3431612595840182e-15
xlm-r,paired_target_queries,single_new_gen,single_distals_wiki_size,7.411951957197151e-11,1.6900093569439456e-07
xlm-r,paired_target_queries,single_new_gen,composite_equal,3.4867344804956285e-90,2.639721854902151e-106
xlm-r,paired_target_queries,single_new_gen,rrf_equal,3.1628219144290687e-74,1.4595173902055823e-87
xlm-r,paired_target_queries,single_new_gen,lightgbm_lambdarank,3.911097737721079e-42,6.538708356222822e-50
xlm-r,paired_target_queries,single_new_gen,mlp_listnet,2.505706016583025e-62,1.0179578083010619e-79
xlm-r,paired_target_queries,single_new_typ,single_new_geo,1.8643471155963878e-05,0.0007934358534912587
xlm-r,paired_target_queries,single_new_typ,single_script,6.916285838079364e-33,8.14795731295082e-27
xlm-r,paired_target_queries,single_new_typ,single_distals_asjp,6.69699617492613e-06,6.062556334849418e-07
xlm-r,paired_target_queries,single_new_typ,single_distals_wiki_size,3.573078408118688e-78,9.15853135239591e-50
xlm-r,paired_target_queries,single_new_typ,composite_equal,2.2764818467766092e-24,5.604081969617863e-35
xlm-r,paired_target_queries,single_new_typ,rrf_equal,3.736349172141907e-17,3.0940467597152924e-22
xlm-r,paired_target_queries,single_new_typ,lightgbm_lambdarank,0.16475219016295936,0.17485417151993415
xlm-r,paired_target_queries,single_new_typ,mlp_listnet,9.706276790194424e-09,3.738260460775037e-15
xlm-r,paired_target_queries,single_new_geo,single_script,1.212148791303272e-58,1.5895715837953296e-42
xlm-r,paired_target_queries,single_new_geo,single_distals_asjp,6.598439042305573e-17,1.0923394113775648e-16
xlm-r,paired_target_queries,single_new_geo,single_distals_wiki_size,4.0124879710086257e-100,1.3110238754396866e-65
xlm-r,paired_target_queries,single_new_geo,composite_equal,5.374845864598988e-12,1.0262606504160824e-22
xlm-r,paired_target_queries,single_new_geo,rrf_equal,3.7697491412767353e-06,7.359266500661761e-12
xlm-r,paired_target_queries,single_new_geo,lightgbm_lambdarank,0.008131857797799218,0.02814860971000382
xlm-r,paired_target_queries,single_new_geo,mlp_listnet,0.10527628423634362,1.4209368881619148e-05
xlm-r,paired_target_queries,single_script,single_distals_asjp,3.76957437850311e-08,5.979817694141182e-12
xlm-r,paired_target_queries,single_script,single_distals_wiki_size,1.896193913069747e-30,3.234638379662203e-06
xlm-r,paired_target_queries,single_script,composite_equal,1.0863774123746954e-103,4.732541608932183e-97
xlm-r,paired_target_queries,single_script,rrf_equal,8.48164452666805e-87,8.491971915115695e-81
xlm-r,paired_target_queries,single_script,lightgbm_lambdarank,4.296818791250941e-31,3.902461440801193e-40
xlm-r,paired_target_queries,single_script,mlp_listnet,5.9526522898275505e-61,1.4187267145668937e-69
xlm-r,paired_target_queries,single_distals_asjp,single_distals_wiki_size,4.060872467973006e-29,1.0859362687242994e-26
xlm-r,paired_target_queries,single_distals_asjp,composite_equal,2.346141573638954e-59,9.401639359480521e-71
xlm-r,paired_target_queries,single_distals_asjp,rrf_equal,1.055283684637855e-45,1.8506340244269197e-52
xlm-r,paired_target_queries,single_distals_asjp,lightgbm_lambdarank,3.492875831034276e-14,7.35084372705482e-15
xlm-r,paired_target_queries,single_distals_asjp,mlp_listnet,7.501234290384645e-45,6.45782037394498e-50
xlm-r,paired_target_queries,single_distals_wiki_size,composite_equal,1.9097406725521804e-136,3.221353895373967e-126
xlm-r,paired_target_queries,single_distals_wiki_size,rrf_equal,8.350825019293644e-117,1.4680105831377848e-109
xlm-r,paired_target_queries,single_distals_wiki_size,lightgbm_lambdarank,3.0434819215745534e-59,4.609163134723389e-65
xlm-r,paired_target_queries,single_distals_wiki_size,mlp_listnet,3.094712351020649e-88,5.530338141985821e-95
xlm-r,paired_target_queries,composite_equal,rrf_equal,0.00029314332807980664,1.8106150797205884e-07
xlm-r,paired_target_queries,composite_equal,lightgbm_lambdarank,3.596467773429567e-23,1.207920651769688e-34
xlm-r,paired_target_queries,composite_equal,mlp_listnet,4.103608679280197e-13,3.2521930278854275e-15
xlm-r,paired_target_queries,rrf_equal,lightgbm_lambdarank,1.5330145380885322e-16,2.7100609229799424e-22
xlm-r,paired_target_queries,rrf_equal,mlp_listnet,1.3783805874713671e-05,0.00014666162294793355
xlm-r,paired_target_queries,lightgbm_lambdarank,mlp_listnet,2.0153111763596434e-08,6.369390674232496e-15
