model,method,hrl->hrl,hrl->mrl,hrl->lrl,mrl->hrl,mrl->mrl,mrl->lrl,lrl->hrl,lrl->mrl,lrl->lrl,*->hrl,*->mrl,*->lrl
mt5,random,43.16748884773457,30.95520703788543,49.23157992953072,19.460605393878684,26.522267131768174,43.33832725702928,23.386151575816037,19.164698569347046,22.843518585581432,23.50649972948517,25.60852551597168,41.170633071489895
mt5,single_new_gen,13.422873207112657,18.781771071737285,56.457973513225014,25.43099138069738,16.20664924705405,33.2165448035446,24.078483550705343,20.48391491244388,17.06416551136341,18.48378268918907,17.714014452359272,46.72327689231465
mt5,single_new_typ,4.5216084442209254,23.22166458314157,25.658018410427054,27.167105802583063,25.11047283719861,48.91223730682389,25.99254194365305,19.294186767980086,26.042412063975206,22.311056421059803,23.64242404525524,43.69549069412823
mt5,single_new_geo,6.829344543906764,21.429606630246802,18.27352780820189,27.931067684712023,24.645681773388514,49.602994142339426,25.157156366462473,20.659333408764436,24.39454269007416,22.49243181770577,23.492635429570218,39.665531351637384
mt5,single_script,,24.436042383789317,32.12500032121709,24.645025703529786,21.888308794716576,44.36326406458686,28.61345494968673,33.92404630165354,26.7595427353918,25.560817068027543,26.338634295113717,40.79906333761357
mt5,single_distals_asjp,6.120133380488448,17.51800130714283,56.765604435847564,21.89050102003025,19.093160583403186,46.03053350096464,11.77507243569224,21.728578086486092,22.85287325307028,15.688112684820336,19.595251932344716,44.07919218257699
mt5,single_distals_wiki_size,6.533422030039373,27.450392062249595,15.870649643964189,28.855885093628025,34.483013476094314,50.89885015838739,0.8377005187239812,30.410102109207614,29.298690334452083,18.541404116031394,32.630320072042224,45.79919368778611
mt5,composite_equal,2.584125625220657,21.8928458250688,24.607067062180317,19.85540729516126,17.91210454200324,34.75251131744563,4.114695742334835,19.104023902191894,23.273986993549794,15.141001707958951,18.604073602140588,29.848054657365054
mt5,rrf_equal,5.4942086208821905,21.58209181233641,24.541941803815863,19.22348353523931,16.81562868421938,37.17576456263431,3.686612911285096,20.52897836380924,20.844101652714215,14.906394038021883,17.89384257045576,30.577853376441837
mt5,lightgbm_lambdarank,13.709560003462501,24.195489732833217,53.84182630557163,30.222234813305548,18.622159845188726,40.82707572564664,19.94386953397022,20.031179424226416,22.097291003889012,23.983526747041815,19.574651624706423,41.09530866705269
mt5,mlp_listnet,5.786602488279953,18.950073732112518,36.201068916749044,24.501189457133517,17.424278172825137,39.34700817624751,10.91650676493329,20.91687102753272,21.701384594060517,17.179047850137856,18.374203644575978,35.59852950002409
