method,resource_level,n_folds,mean_trial_complexity,median_trial_complexity,min_trial_complexity,max_trial_complexity,mean_test_pool_size,mean_pool_fraction_pct,near_oracle_hit_rate_pct,near_oracle_hit_rate_se_pct,exact_best_hit_rate_pct,exact_best_hit_rate_se_pct,mean_calibration_size,min_calibration_size,max_calibration_size,minimum_finite_calibration_size,finite_quantile_possible_rate_pct,infinite_threshold_rate_pct,mean_best_in_set_performance_loss_pct,alpha,epsilon,task_key,model_key,task,model
single_new_typ,hrl,5,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05,sib200,xlm-r,SIB-200,XLM-R
single_new_typ,mrl,40,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05,sib200,xlm-r,SIB-200,XLM-R
single_new_typ,lrl,140,105.72857142857144,107.0,101.0,108.0,176.0,60.07305194805195,95.0,1.84858491475246,69.28571428571428,3.912773055256461,28.0,28.0,28.0,9,100.0,0.0,1.0494798769817024,0.1,0.05,sib200,xlm-r,SIB-200,XLM-R
single_script,hrl,5,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05,sib200,xlm-r,SIB-200,XLM-R
single_script,mrl,40,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05,sib200,xlm-r,SIB-200,XLM-R
single_script,lrl,140,63.67142857142857,77.0,42.0,77.0,176.0,36.17694805194806,88.57142857142857,2.698580626068047,54.285714285714285,4.225336948005622,28.0,28.0,28.0,9,100.0,0.0,1.8752565171127336,0.1,0.05,sib200,xlm-r,SIB-200,XLM-R
composite_equal,hrl,5,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05,sib200,mt5,SIB-200,mT5
composite_equal,mrl,40,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05,sib200,mt5,SIB-200,mT5
composite_equal,lrl,140,28.242857142857144,19.0,17.0,44.0,176.0,16.047077922077925,89.28571428571429,2.623404143969956,42.85714285714285,4.197446630351929,28.0,28.0,28.0,9,100.0,0.0,1.643713767408798,0.1,0.05,sib200,mt5,SIB-200,mT5
lightgbm_lambdarank,hrl,5,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05,sib200,mt5,SIB-200,mT5
lightgbm_lambdarank,mrl,40,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05,sib200,mt5,SIB-200,mT5
lightgbm_lambdarank,lrl,140,14.214285714285714,10.0,4.0,75.0,176.0,8.0762987012987,88.57142857142857,2.698580626068047,35.714285714285715,4.064160223986865,28.0,28.0,28.0,9,100.0,0.0,2.1175849188681406,0.1,0.05,sib200,mt5,SIB-200,mT5
mlp_listnet,hrl,5,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05,sib200,mt5,SIB-200,mT5
mlp_listnet,mrl,40,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05,sib200,mt5,SIB-200,mT5
mlp_listnet,lrl,140,35.964285714285715,28.0,13.0,76.0,176.0,20.434253246753244,89.28571428571429,2.623404143969956,47.85714285714286,4.237048113266934,28.0,28.0,28.0,9,100.0,0.0,1.5258411477942944,0.1,0.05,sib200,mt5,SIB-200,mT5
