task,model,method,resource_level,n_folds,mean_trial_complexity,near_oracle_hit_rate_pct,near_oracle_hit_rate_se_pct,mean_calibration_size,minimum_finite_calibration_size,finite_quantile_possible_rate_pct,infinite_threshold_rate_pct,mean_pool_fraction_pct
SIB-200,XLM-R,single_distals_wiki_size,lrl,140,101.77142857142856,95.0,1.84858491475246,28.0,9,100.0,0.0,57.82467532467533
SIB-200,XLM-R,single_new_gen,hrl,5,176.0,100.0,0.0,1.0,9,0.0,100.0,100.0
SIB-200,XLM-R,single_new_gen,mrl,40,176.0,100.0,0.0,8.0,9,0.0,100.0,100.0
SIB-200,XLM-R,single_new_gen,lrl,140,159.77857142857144,97.14285714285714,1.4130710990583526,28.0,9,100.0,0.0,90.7832792207792
SIB-200,XLM-R,single_new_geo,hrl,5,176.0,100.0,0.0,1.0,9,0.0,100.0,100.0
SIB-200,XLM-R,single_new_geo,mrl,40,176.0,100.0,0.0,8.0,9,0.0,100.0,100.0
SIB-200,XLM-R,single_new_geo,lrl,140,167.97142857142856,95.71428571428572,1.7178790705268918,28.0,9,100.0,0.0,95.43831168831171
SIB-200,XLM-R,single_new_typ,hrl,5,176.0,100.0,0.0,1.0,9,0.0,100.0,100.0
SIB-200,XLM-R,single_new_typ,mrl,40,176.0,100.0,0.0,8.0,9,0.0,100.0,100.0
SIB-200,XLM-R,single_new_typ,lrl,140,105.72857142857144,95.0,1.84858491475246,28.0,9,100.0,0.0,60.07305194805195
SIB-200,XLM-R,single_script,hrl,5,176.0,100.0,0.0,1.0,9,0.0,100.0,100.0
SIB-200,XLM-R,single_script,mrl,40,176.0,100.0,0.0,8.0,9,0.0,100.0,100.0
SIB-200,XLM-R,single_script,lrl,140,63.67142857142857,88.57142857142857,2.698580626068047,28.0,9,100.0,0.0,36.17694805194806
SIB-200,mT5,composite_equal,hrl,5,176.0,100.0,0.0,1.0,9,0.0,100.0,100.0
SIB-200,mT5,composite_equal,mrl,40,176.0,100.0,0.0,8.0,9,0.0,100.0,100.0
SIB-200,mT5,composite_equal,lrl,140,28.242857142857144,89.28571428571429,2.623404143969956,28.0,9,100.0,0.0,16.047077922077925
SIB-200,mT5,lightgbm_lambdarank,hrl,5,176.0,100.0,0.0,1.0,9,0.0,100.0,100.0
SIB-200,mT5,lightgbm_lambdarank,mrl,40,176.0,100.0,0.0,8.0,9,0.0,100.0,100.0
SIB-200,mT5,lightgbm_lambdarank,lrl,140,14.214285714285714,88.57142857142857,2.698580626068047,28.0,9,100.0,0.0,8.0762987012987
SIB-200,mT5,mlp_listnet,hrl,5,176.0,100.0,0.0,1.0,9,0.0,100.0,100.0
SIB-200,mT5,mlp_listnet,mrl,40,176.0,100.0,0.0,8.0,9,0.0,100.0,100.0
SIB-200,mT5,mlp_listnet,lrl,140,35.964285714285715,89.28571428571429,2.623404143969956,28.0,9,100.0,0.0,20.434253246753244
SIB-200,mT5,rrf_equal,hrl,5,176.0,100.0,0.0,1.0,9,0.0,100.0,100.0
SIB-200,mT5,rrf_equal,mrl,40,176.0,100.0,0.0,8.0,9,0.0,100.0,100.0
SIB-200,mT5,rrf_equal,lrl,140,41.457142857142856,88.57142857142857,2.698580626068047,28.0,9,100.0,0.0,23.555194805194805
SIB-200,mT5,single_distals_asjp,hrl,5,176.0,100.0,0.0,1.0,9,0.0,100.0,100.0
SIB-200,mT5,single_distals_asjp,mrl,40,176.0,100.0,0.0,8.0,9,0.0,100.0,100.0
SIB-200,mT5,single_distals_asjp,lrl,140,26.835714285714285,89.28571428571429,2.623404143969956,28.0,9,100.0,0.0,15.247564935064933
SIB-200,mT5,single_distals_wiki_size,hrl,5,176.0,100.0,0.0,1.0,9,0.0,100.0,100.0
SIB-200,mT5,single_distals_wiki_size,mrl,40,176.0,100.0,0.0,8.0,9,0.0,100.0,100.0
SIB-200,mT5,single_distals_wiki_size,lrl,140,26.571428571428573,87.14285714285714,2.839100277060259,28.0,9,100.0,0.0,15.097402597402596
SIB-200,mT5,single_new_gen,hrl,5,176.0,100.0,0.0,1.0,9,0.0,100.0,100.0
SIB-200,mT5,single_new_gen,mrl,40,176.0,100.0,0.0,8.0,9,0.0,100.0,100.0
SIB-200,mT5,single_new_gen,lrl,140,36.75,92.85714285714286,2.184420483744325,28.0,9,100.0,0.0,20.88068181818182
SIB-200,mT5,single_new_geo,hrl,5,176.0,100.0,0.0,1.0,9,0.0,100.0,100.0
SIB-200,mT5,single_new_geo,mrl,40,176.0,100.0,0.0,8.0,9,0.0,100.0,100.0
SIB-200,mT5,single_new_geo,lrl,140,29.942857142857143,90.0,2.5445667890399126,28.0,9,100.0,0.0,17.01298701298702
SIB-200,mT5,single_new_typ,hrl,5,176.0,100.0,0.0,1.0,9,0.0,100.0,100.0
SIB-200,mT5,single_new_typ,mrl,40,176.0,100.0,0.0,8.0,9,0.0,100.0,100.0
SIB-200,mT5,single_new_typ,lrl,140,26.9,88.57142857142857,2.698580626068047,28.0,9,100.0,0.0,15.284090909090912
SIB-200,mT5,single_script,hrl,5,176.0,100.0,0.0,1.0,9,0.0,100.0,100.0
SIB-200,mT5,single_script,mrl,40,176.0,100.0,0.0,8.0,9,0.0,100.0,100.0
SIB-200,mT5,single_script,lrl,140,31.257142857142856,84.28571428571429,3.086859823146824,28.0,9,100.0,0.0,17.759740259740262
Taxi1500,XLM-R,composite_equal,hrl,6,32.0,100.0,0.0,1.0,9,0.0,100.0,100.0
Taxi1500,XLM-R,composite_equal,mrl,26,32.0,100.0,0.0,5.0,9,0.0,100.0,100.0
Taxi1500,XLM-R,composite_equal,lrl,730,21.20684931506849,91.5068493150685,1.0325175725552511,146.0,9,100.0,0.0,66.27140410958904
Taxi1500,XLM-R,lightgbm_lambdarank,hrl,6,32.0,100.0,0.0,1.0,9,0.0,100.0,100.0
Taxi1500,XLM-R,lightgbm_lambdarank,mrl,26,32.0,100.0,0.0,5.0,9,0.0,100.0,100.0
Taxi1500,XLM-R,lightgbm_lambdarank,lrl,730,8.882191780821918,93.97260273972604,0.8814583005777371,146.0,9,100.0,0.0,27.756849315068493
Taxi1500,XLM-R,mlp_listnet,hrl,6,32.0,100.0,0.0,1.0,9,0.0,100.0,100.0
Taxi1500,XLM-R,mlp_listnet,mrl,26,32.0,100.0,0.0,5.0,9,0.0,100.0,100.0
Taxi1500,XLM-R,mlp_listnet,lrl,730,17.942465753424656,91.64383561643837,1.0249232666591075,146.0,9,100.0,0.0,56.07020547945205
Taxi1500,XLM-R,rrf_equal,hrl,6,32.0,100.0,0.0,1.0,9,0.0,100.0,100.0
Taxi1500,XLM-R,rrf_equal,mrl,26,32.0,100.0,0.0,5.0,9,0.0,100.0,100.0
Taxi1500,XLM-R,rrf_equal,lrl,730,23.34931506849315,90.82191780821918,1.0693196345056823,146.0,9,100.0,0.0,72.9666095890411
Taxi1500,XLM-R,single_distals_asjp,hrl,6,32.0,100.0,0.0,1.0,9,0.0,100.0,100.0
Taxi1500,XLM-R,single_distals_asjp,mrl,26,32.0,100.0,0.0,5.0,9,0.0,100.0,100.0
Taxi1500,XLM-R,single_distals_asjp,lrl,730,28.964383561643835,90.13698630136986,1.1043139815657264,146.0,9,100.0,0.0,90.513698630137
Taxi1500,XLM-R,single_distals_wiki_size,hrl,6,32.0,100.0,0.0,1.0,9,0.0,100.0,100.0
Taxi1500,XLM-R,single_distals_wiki_size,mrl,26,32.0,100.0,0.0,5.0,9,0.0,100.0,100.0
Taxi1500,XLM-R,single_distals_wiki_size,lrl,730,25.0,96.84931506849314,0.6469742571814596,146.0,9,100.0,0.0,78.125
Taxi1500,XLM-R,single_new_gen,hrl,6,32.0,100.0,0.0,1.0,9,0.0,100.0,100.0
Taxi1500,XLM-R,single_new_gen,mrl,26,32.0,100.0,0.0,5.0,9,0.0,100.0,100.0
Taxi1500,XLM-R,single_new_gen,lrl,730,23.905479452054795,93.56164383561644,0.909018363154824,146.0,9,100.0,0.0,74.70462328767124
Taxi1500,XLM-R,single_new_geo,hrl,6,32.0,100.0,0.0,1.0,9,0.0,100.0,100.0
Taxi1500,XLM-R,single_new_geo,mrl,26,32.0,100.0,0.0,5.0,9,0.0,100.0,100.0
