paradigm,method,sib200_xlm-r_ctc,sib200_xlm-r_hit_rate_pct,sib200_xlm-r_hit_rate_se_pct,sib200_xlm-r_n,sib200_xlm-r_mean_calibration_size,sib200_xlm-r_infinite_threshold_rate_pct,sib200_mt5_ctc,sib200_mt5_hit_rate_pct,sib200_mt5_hit_rate_se_pct,sib200_mt5_n,sib200_mt5_mean_calibration_size,sib200_mt5_infinite_threshold_rate_pct,taxi1500_xlm-r_ctc,taxi1500_xlm-r_hit_rate_pct,taxi1500_xlm-r_hit_rate_se_pct,taxi1500_xlm-r_n,taxi1500_xlm-r_mean_calibration_size,taxi1500_xlm-r_infinite_threshold_rate_pct,taxi1500_mt5_ctc,taxi1500_mt5_hit_rate_pct,taxi1500_mt5_hit_rate_se_pct,taxi1500_mt5_n,taxi1500_mt5_mean_calibration_size,taxi1500_mt5_infinite_threshold_rate_pct,ud_pos_xlm-r_ctc,ud_pos_xlm-r_hit_rate_pct,ud_pos_xlm-r_hit_rate_se_pct,ud_pos_xlm-r_n,ud_pos_xlm-r_mean_calibration_size,ud_pos_xlm-r_infinite_threshold_rate_pct,ud_pos_mt5_ctc,ud_pos_mt5_hit_rate_pct,ud_pos_mt5_hit_rate_se_pct,ud_pos_mt5_n,ud_pos_mt5_mean_calibration_size,ud_pos_mt5_infinite_threshold_rate_pct
Trained rankers,LightGBM,46.135714285714286,92.85714285714286,2.184420483744325,140,28.0,0.0,14.214285714285714,88.57142857142857,2.698580626068047,140,28.0,0.0,8.882191780821918,93.97260273972604,0.8814583005777371,730,146.0,0.0,10.736986301369862,91.78082191780824,1.0172469637627306,730,146.0,0.0,47.62376237623762,96.03960396039604,1.9502688716427927,101,20.0,0.0,33.04950495049505,89.10891089108911,3.115273806445995,101,20.0,0.0
Trained rankers,MLP,58.87857142857143,90.0,2.5445667890399126,140,28.0,0.0,35.964285714285715,89.28571428571429,2.623404143969956,140,28.0,0.0,17.942465753424656,91.64383561643837,1.0249232666591075,730,146.0,0.0,17.236986301369864,93.28767123287672,0.9267977519523004,730,146.0,0.0,44.76237623762376,95.04950495049503,2.169198247545213,101,20.0,0.0,35.28712871287129,85.14851485148515,3.5560960388253413,101,20.0,0.0
Composite distances,Comp-Eq,109.52857142857142,93.57142857142856,2.0802784336415368,140,28.0,0.0,28.242857142857144,89.28571428571429,2.623404143969956,140,28.0,0.0,21.20684931506849,91.5068493150685,1.0325175725552511,730,146.0,0.0,22.534246575342465,90.54794520547944,1.0835242880857143,730,146.0,0.0,60.73267326732673,96.03960396039604,1.9502688716427927,101,20.0,0.0,39.08910891089109,87.12871287128714,3.3488187178787645,101,20.0,0.0
Composite distances,Comp-RRF,132.68571428571428,95.0,1.84858491475246,140,28.0,0.0,41.457142857142856,88.57142857142857,2.698580626068047,140,28.0,0.0,23.34931506849315,90.82191780821918,1.0693196345056823,730,146.0,0.0,27.327397260273973,91.64383561643837,1.024923266659108,730,146.0,0.0,36.35643564356435,92.07920792079209,2.7006300390071005,101,20.0,0.0,27.45544554455445,83.16831683168317,3.741473985681423,101,20.0,0.0
Individual distances,Genetic,159.77857142857144,97.14285714285714,1.4130710990583526,140,28.0,0.0,36.75,92.85714285714286,2.184420483744325,140,28.0,0.0,23.905479452054795,93.56164383561644,0.909018363154824,730,146.0,0.0,23.90958904109589,95.2054794520548,0.7912975119473475,730,146.0,0.0,42.99009900990099,91.0891089108911,2.849008825730329,101,20.0,0.0,34.35643564356435,81.1881188118812,3.908070169503079,101,20.0,0.0
Individual distances,Typological,105.72857142857144,95.0,1.84858491475246,140,28.0,0.0,26.9,88.57142857142857,2.698580626068047,140,28.0,0.0,22.236986301369864,90.95890410958904,1.0621097195843348,730,146.0,0.0,28.0,92.73972602739728,0.9610492516330787,730,146.0,0.0,46.15841584158416,87.12871287128714,3.3488187178787654,101,20.0,0.0,40.96039603960397,92.07920792079209,2.7006300390071005,101,20.0,0.0
Individual distances,Geographic,167.97142857142856,95.71428571428572,1.7178790705268918,140,28.0,0.0,29.942857142857143,90.0,2.5445667890399126,140,28.0,0.0,28.68082191780822,86.84931506849315,1.2516808884918742,730,146.0,0.0,28.82054794520548,93.013698630137,0.9441333766270066,730,146.0,0.0,37.76237623762376,92.07920792079209,2.7006300390071005,101,20.0,0.0,36.3960396039604,93.06930693069307,2.539753532352606,101,20.0,0.0
Individual distances,Script,63.67142857142857,88.57142857142857,2.698580626068047,140,28.0,0.0,31.257142857142856,84.28571428571429,3.086859823146824,140,28.0,0.0,18.72465753424657,90.82191780821918,1.0693196345056823,730,146.0,0.0,17.68082191780822,92.87671232876713,0.9526423723213464,730,146.0,0.0,42.55445544554456,88.11881188118812,3.235670225419444,101,20.0,0.0,66.52475247524752,97.02970297029702,1.697666158364579,101,20.0,0.0
Individual distances,ASJP,104.53571428571428,94.28571428571428,1.968776982602044,140,28.0,0.0,26.835714285714285,89.28571428571429,2.623404143969956,140,28.0,0.0,28.964383561643835,90.13698630136986,1.1043139815657264,730,146.0,0.0,28.735616438356164,92.19178082191782,0.99370696916627,730,146.0,0.0,39.42574257425743,89.10891089108911,3.1152738064459946,101,20.0,0.0,50.148514851485146,88.11881188118812,3.2356702254194443,101,20.0,0.0
Individual distances,Wiki-size,101.77142857142856,95.0,1.84858491475246,140,28.0,0.0,26.571428571428573,87.14285714285714,2.839100277060259,140,28.0,0.0,25.0,96.84931506849314,0.6469742571814596,730,146.0,0.0,30.947945205479453,92.19178082191782,0.99370696916627,730,146.0,0.0,43.277227722772274,83.16831683168317,3.741473985681423,101,20.0,0.0,62.23762376237624,93.06930693069307,2.539753532352606,101,20.0,0.0
