model,model_name,aggregation,method_a,method_b,ndcg_p_value,performance_loss_p_value,source_artifact
mt5,mT5,paired_target_queries,single_new_geo,single_distals_wiki_size,8.997761117030338e-34,7.923712454598712e-15,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_new_geo,composite_equal,7.579536271409481e-23,4.1346342389677653e-36,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_new_geo,rrf_equal,2.768372556088596e-20,3.638782430816328e-32,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_new_geo,lightgbm_lambdarank,0.001707283205318,0.4222365978145092,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_new_geo,mlp_listnet,8.410524227506813e-07,1.1473518258705762e-08,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_script,single_distals_asjp,0.0806833400856877,0.0485892819717471,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_script,single_distals_wiki_size,1.7472902990961498e-50,8.698326992654266e-16,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_script,composite_equal,1.803760162981544e-30,1.6499898731443132e-43,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_script,rrf_equal,2.094450243860884e-27,8.027185614389088e-40,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_script,lightgbm_lambdarank,0.4113814595186364,0.2470713824023984,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_script,mlp_listnet,4.653048590968233e-12,1.1668423856874363e-14,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_distals_asjp,single_distals_wiki_size,2.9496146352674985e-14,9.619646803336826e-06,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_distals_asjp,composite_equal,3.5576688526917326e-41,7.576321498314808e-52,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
