model,model_name,method,hrl->hrl,hrl->mrl,hrl->lrl,mrl->hrl,mrl->mrl,mrl->lrl,lrl->hrl,lrl->mrl,lrl->lrl,*->hrl,*->mrl,*->lrl,source_artifact
mt5,mT5,random,43.16748884773457,30.95520703788543,49.23157992953072,19.460605393878684,26.52226713176817,43.33832725702928,23.38615157581604,19.16469856934705,22.843518585581432,23.50649972948517,25.60852551597168,41.170633071489895,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/transfer_type_loss.csv
mt5,mT5,single_new_gen,13.422873207112657,18.781771071737285,56.45797351322501,25.43099138069738,16.20664924705405,33.2165448035446,24.078483550705343,20.48391491244388,17.06416551136341,18.48378268918907,17.714014452359272,46.72327689231465,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/transfer_type_loss.csv
mt5,mT5,single_new_typ,4.521608444220925,23.22166458314157,25.65801841042705,27.167105802583063,25.11047283719861,48.91223730682389,25.99254194365305,19.294186767980086,26.04241206397521,22.311056421059803,23.64242404525524,43.69549069412823,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/transfer_type_loss.csv
mt5,mT5,single_new_geo,6.829344543906764,21.4296066302468,18.27352780820189,27.931067684712023,24.645681773388517,49.60299414233943,25.157156366462477,20.65933340876444,24.39454269007416,22.49243181770577,23.492635429570218,39.66553135163738,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/transfer_type_loss.csv
mt5,mT5,single_script,,24.43604238378932,32.12500032121709,24.645025703529782,21.888308794716576,44.36326406458686,28.61345494968673,33.92404630165354,26.7595427353918,25.560817068027543,26.33863429511372,40.79906333761357,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/transfer_type_loss.csv
mt5,mT5,single_distals_asjp,6.120133380488448,17.51800130714283,56.76560443584757,21.89050102003025,19.093160583403183,46.03053350096464,11.77507243569224,21.72857808648609,22.85287325307028,15.688112684820336,19.59525193234472,44.07919218257699,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/transfer_type_loss.csv
mt5,mT5,single_distals_wiki_size,6.533422030039373,27.450392062249595,15.870649643964189,28.855885093628025,34.483013476094314,50.89885015838739,0.8377005187239812,30.41010210920761,29.298690334452083,18.541404116031394,32.630320072042224,45.79919368778611,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/transfer_type_loss.csv
mt5,mT5,composite_equal,2.584125625220657,21.8928458250688,24.60706706218032,19.85540729516126,17.91210454200324,34.75251131744563,4.114695742334835,19.10402390219189,23.273986993549794,15.141001707958951,18.604073602140588,29.84805465736505,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/transfer_type_loss.csv
mt5,mT5,rrf_equal,5.494208620882191,21.58209181233641,24.541941803815863,19.22348353523931,16.81562868421938,37.17576456263431,3.686612911285096,20.52897836380924,20.844101652714212,14.906394038021883,17.89384257045576,30.57785337644184,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/transfer_type_loss.csv
mt5,mT5,lightgbm_lambdarank,13.7095600034625,24.195489732833217,53.84182630557163,30.222234813305548,18.62215984518873,40.82707572564664,19.94386953397022,20.031179424226416,22.09729100388901,23.98352674704181,19.574651624706423,41.09530866705269,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/transfer_type_loss.csv
mt5,mT5,mlp_listnet,5.786602488279953,18.95007373211252,36.20106891674904,24.50118945713352,17.424278172825137,39.34700817624751,10.91650676493329,20.91687102753272,21.70138459406052,17.179047850137856,18.374203644575974,35.59852950002409,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/transfer_type_loss.csv
xlm-r,XLM-R,random,3.470797996155216,15.820149377458268,55.92355163584708,18.486954905936003,11.729262450759908,37.97940806836018,32.63585055031604,42.52419028484608,41.987198439194216,22.709942067615003,19.673296383800118,41.21597120015092,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/transfer_type_loss.csv
xlm-r,XLM-R,single_new_gen,17.226767920200768,24.38270579836956,60.84792128292781,14.975973813042916,6.411185526924978,31.772605747567585,26.131938962948738,23.74583880670168,26.61777377504412,18.557643307318788,15.805127921919496,50.4818789702176,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/transfer_type_loss.csv
xlm-r,XLM-R,single_new_typ,13.50385250788157,17.655199306361016,35.3786014205949,13.958561846833115,10.836075998268557,42.45507829559399,34.22646741406582,18.848308773013773,35.72950563142236,18.934596370850983,13.557916260680964,40.66658018382763,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/transfer_type_loss.csv
xlm-r,XLM-R,single_new_geo,17.768730517754122,19.25009278696749,39.65933447370397,14.764925230389377,12.693841844485943,36.40859119797062,40.03334585773221,31.17009944517461,34.27102641972327,22.464692224749843,18.484871795087056,36.34319249603412,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/transfer_type_loss.csv
xlm-r,XLM-R,single_script,,12.12029806824535,32.520689691394885,19.77527273455606,14.442712886515432,54.81515350447326,28.5000207689526,32.48413418300074,34.403929257911294,22.828934546594848,23.743381209163477,49.39122968783666,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/transfer_type_loss.csv
xlm-r,XLM-R,single_distals_asjp,18.75903347340799,18.085748289350885,60.316523772653696,19.88845976661826,9.789721668157847,44.576368940214586,27.43080677156066,22.521701769644096,31.93666486190764,22.89630764240698,13.757390827960888,45.10538634403064,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/transfer_type_loss.csv
xlm-r,XLM-R,single_distals_wiki_size,13.452640833370705,20.69493114539676,23.47704517203926,20.390193446119117,21.626572927880567,58.2512491310789,0.9375565918901124,29.700316647207647,41.63118926681658,16.01678634623427,22.85822690837996,53.22404606353064,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/transfer_type_loss.csv
xlm-r,XLM-R,composite_equal,10.8081819862245,17.46022034162944,41.75518537021213,11.0781127557296,10.96110174944812,21.572548529353615,9.699725249628653,20.24858898604553,30.785749966636452,10.858576432803586,13.3987814314769,28.58507148845335,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/transfer_type_loss.csv
xlm-r,XLM-R,rrf_equal,16.82341665406166,17.60027787527031,39.73600034267128,11.44740034165201,10.299901926750334,28.353569259641063,14.528766451888831,22.659817978732715,29.65766960945089,13.002838980320584,13.546262856368529,31.23992104047702,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/transfer_type_loss.csv
xlm-r,XLM-R,lightgbm_lambdarank,13.253367816823053,13.11233807193291,46.34861598726529,9.371634785171103,8.784254974013628,43.48347309463488,21.41982994391768,13.544122270546572,27.17053532254331,11.245682679990084,10.404964069591404,40.20646829657398,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/xlm-r/transfer_type_loss.csv
