model,model_name,aggregation,method_a,method_b,ndcg_p_value,performance_loss_p_value,source_artifact
mt5,mT5,paired_held_out_tasks,single_new_geo,composite_equal,0.5514740958119733,0.0676961470267443,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,single_new_geo,rrf_equal,0.6358587214838347,0.0514402464175008,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,single_new_geo,lightgbm_lambdarank,0.9870931601017212,0.3628266671463176,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,single_new_geo,mlp_listnet,0.3276954837031726,0.09182221949755,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,single_script,single_distals_asjp,0.2309950706895606,0.9775536289611348,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,single_script,single_distals_wiki_size,0.0716941252619087,0.1149034743581513,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,single_script,composite_equal,0.0174053618638481,0.2124790998332984,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,single_script,rrf_equal,0.0213226898327804,0.142762107201582,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,single_script,lightgbm_lambdarank,0.106693895899367,0.678089702119226,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,single_script,mlp_listnet,0.0149382745478955,0.12355807027307,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,single_distals_asjp,single_distals_wiki_size,0.0956764401778374,0.2746942784975894,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,single_distals_asjp,composite_equal,0.2202873005769704,0.1536469084603723,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,single_distals_asjp,rrf_equal,0.2218979232464013,0.1080119902464021,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,single_distals_asjp,lightgbm_lambdarank,0.2178247114684268,0.2837441323288475,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,single_distals_asjp,mlp_listnet,0.0674281626713718,0.1128463943212565,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,single_distals_wiki_size,composite_equal,0.0111362605640976,0.0501710718090932,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,single_distals_wiki_size,rrf_equal,0.0132058065481051,0.0369397013932904,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,single_distals_wiki_size,lightgbm_lambdarank,0.0448819516470724,0.1465027215243687,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,single_distals_wiki_size,mlp_listnet,0.0118661632888074,0.0454689680983033,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,composite_equal,rrf_equal,0.7784921631223161,0.2713596495297634,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,composite_equal,lightgbm_lambdarank,0.5489562710414309,0.2018134090897638,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,composite_equal,mlp_listnet,0.7016031440646858,0.7997247226666376,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,rrf_equal,lightgbm_lambdarank,0.5859559144055673,0.1269933174248869,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
