method,resource_level,n_folds,mean_trial_complexity,median_trial_complexity,min_trial_complexity,max_trial_complexity,mean_test_pool_size,mean_pool_fraction_pct,near_oracle_hit_rate_pct,near_oracle_hit_rate_se_pct,exact_best_hit_rate_pct,exact_best_hit_rate_se_pct,mean_calibration_size,min_calibration_size,max_calibration_size,minimum_finite_calibration_size,finite_quantile_possible_rate_pct,infinite_threshold_rate_pct,mean_best_in_set_performance_loss_pct,alpha,epsilon
single_distals_asjp,lrl,101,50.148514851485146,55.0,19.0,55.0,73.0,68.69659568696599,88.11881188118812,3.2356702254194443,85.14851485148515,3.5560960388253413,20.0,20.0,20.0,9,100.0,0.0,1.589299256651703,0.1,0.05
single_distals_wiki_size,hrl,6,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
single_distals_wiki_size,mrl,40,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05
single_distals_wiki_size,lrl,101,62.23762376237624,66.0,51.0,66.0,73.0,85.25701885257018,93.06930693069307,2.539753532352606,85.14851485148515,3.5560960388253404,20.0,20.0,20.0,9,100.0,0.0,0.7322200402213699,0.1,0.05
single_new_gen,hrl,6,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
single_new_gen,mrl,40,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05
single_new_gen,lrl,101,34.35643564356435,27.0,27.0,57.0,73.0,47.06361047063611,81.1881188118812,3.908070169503079,72.27722772277228,4.476298833844482,20.0,20.0,20.0,9,100.0,0.0,2.5502514344537355,0.1,0.05
single_new_geo,hrl,6,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
single_new_geo,mrl,40,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05
single_new_geo,lrl,101,36.396039603960396,36.0,28.0,38.0,73.0,49.85758849857589,93.06930693069307,2.539753532352606,80.19801980198021,3.985071643068932,20.0,20.0,20.0,9,100.0,0.0,1.1615980180552465,0.1,0.05
single_new_typ,hrl,6,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
single_new_typ,mrl,40,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05
