method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,cnotc_calibration_size,cnotc_finite_quantile_possible,cnotc_threshold_is_infinite,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance_loss
single_new_gen,21.3127415466321,9.5930948913925,20.0,22.702702702702705,185,70.62162162162163,40.125921375921386,94.5945945945946,60.54054054054055,0.945498532861769,22.945945945945947,0.7567567567567568,0.24324324324324326,10.0,5.68181818181818,84.32432432432432,26.486486486486488,2.3712705517365467
single_new_typ,19.202050749894482,9.624169040379858,18.91891891891892,20.54054054054054,185,63.167567567567566,35.890663390663384,91.35135135135135,54.59459459459459,1.3523605928810976,22.945945945945947,0.7567567567567568,0.24324324324324326,10.0,5.68181818181818,85.4054054054054,25.945945945945947,2.429469829200023
lightgbm_lambdarank,22.191064520221207,9.669021090556864,19.45945945945946,23.243243243243246,185,53.567567567567565,30.43611793611794,91.35135135135135,51.35135135135135,1.6024966953596742,22.945945945945947,0.7567567567567568,0.24324324324324326,10.0,5.68181818181818,89.72972972972974,29.72972972972973,2.0768818630896293
rrf_equal,21.365046851348495,9.749162875063263,20.0,23.783783783783786,185,74.18378378378378,42.14987714987716,91.35135135135135,62.16216216216216,1.0135565362434544,22.945945945945947,0.7567567567567568,0.24324324324324326,10.0,5.68181818181818,86.48648648648648,27.027027027027028,2.1079004906213847
mlp_listnet,22.206753501141666,9.80280063851298,19.45945945945946,23.243243243243246,185,70.02702702702703,39.78808353808354,91.8918918918919,60.54054054054055,1.1546905983308169,22.945945945945947,0.7567567567567568,0.24324324324324326,10.0,5.68181818181818,83.78378378378379,28.64864864864865,2.326718102966858
composite_equal,21.658707288676375,9.818274723017085,19.45945945945946,23.243243243243246,185,64.18378378378378,36.46805896805897,91.8918918918919,56.75675675675676,1.243891499660712,22.945945945945947,0.7567567567567568,0.24324324324324326,10.0,5.68181818181818,85.4054054054054,28.64864864864865,2.3338519722563134
single_distals_asjp,22.11616388489657,9.963389016414743,19.45945945945946,23.243243243243246,185,63.11891891891892,35.86302211302211,91.8918918918919,54.59459459459459,1.1876952025532679,22.945945945945947,0.7567567567567568,0.24324324324324326,10.0,5.68181818181818,84.32432432432432,28.10810810810811,2.3246377969520235
single_new_geo,22.628922942763168,9.97955299396882,19.45945945945946,22.702702702702705,185,65.47027027027028,37.1990171990172,92.43243243243244,60.54054054054055,1.039270726535659,22.945945945945947,0.7567567567567568,0.24324324324324326,10.0,5.68181818181818,85.94594594594595,27.027027027027028,2.413827455161917
single_script,8.929353285072951,11.755643074143347,5.9459459459459465,8.64864864864865,185,66.46486486486486,37.764127764127764,88.10810810810811,50.810810810810814,1.8086448124589194,22.945945945945947,0.7567567567567568,0.24324324324324326,10.0,5.68181818181818,76.75675675675676,17.83783783783784,4.25990768618482
single_distals_wiki_size,15.729980577655308,12.073823556052336,15.675675675675677,15.675675675675677,185,62.91891891891892,35.749385749385745,90.27027027027027,49.18918918918919,1.6843903099293165,22.945945945945947,0.7567567567567568,0.24324324324324326,10.0,5.68181818181818,75.67567567567568,21.08108108108108,3.3529278268495646
