dataset,task,model,metric,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units
masakhaner_mt5,masakhaner,mt5,f1_score,single_distals_wiki_size,single_new_typ,performance_loss_pct,-3.2273035508000305,-11.03690007178207,3.314806166737102,0.3965,19
masakhaner_mt5,masakhaner,mt5,f1_score,single_distals_wiki_size,single_script,performance_loss_pct,0.20555374474079385,-4.40367363769636,5.205039333096133,0.9526,19
masakhaner_mt5,masakhaner,mt5,f1_score,single_new_gen,single_new_geo,performance_loss_pct,-1.8406426795633914,-4.127698236575435,0.26796449409662665,0.0939,19
masakhaner_mt5,masakhaner,mt5,f1_score,single_new_gen,single_new_typ,performance_loss_pct,-8.631494489732551,-16.835894122617166,-2.1097584333193318,0.0028,19
masakhaner_mt5,masakhaner,mt5,f1_score,single_new_gen,single_script,performance_loss_pct,-5.198637194191727,-9.081613580741852,-1.6637616453626802,0.0022,19
masakhaner_mt5,masakhaner,mt5,f1_score,single_new_geo,single_new_typ,performance_loss_pct,-6.790851810169158,-14.600476693568227,-0.6145795002180005,0.0236,19
masakhaner_mt5,masakhaner,mt5,f1_score,single_new_geo,single_script,performance_loss_pct,-3.3579945146283348,-7.0516435281977765,-0.445144618304811,0.0199,19
masakhaner_mt5,masakhaner,mt5,f1_score,single_new_typ,single_script,performance_loss_pct,3.4328572955408245,-2.843814533692423,10.857512339793786,0.3289,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,composite_equal,lightgbm_lambdarank,performance_loss_pct,11.744055022889935,3.820702037046595,21.387490808019344,0.0016,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,composite_equal,mlp_listnet,performance_loss_pct,10.134747173436642,0.7976531478025084,20.679517047707705,0.031,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,composite_equal,rrf_equal,performance_loss_pct,4.979619065397058,0.7014207007836506,10.508982499033172,0.0061,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,composite_equal,single_distals_asjp,performance_loss_pct,2.3059762784501805,-7.096783390476551,13.275253577349066,0.6916,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,composite_equal,single_distals_wiki_size,performance_loss_pct,-7.261308099962616,-15.515922270057995,0.7181579864513854,0.0739,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,composite_equal,single_new_gen,performance_loss_pct,5.675657430762312,-4.141470588824595,16.969806622870852,0.2912,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,composite_equal,single_new_geo,performance_loss_pct,7.700215287314788,-1.5979175289601797,18.37996949803637,0.1105,19
masakhaner_xlm-r,masakhaner,xlm-r,f1_score,composite_equal,single_new_typ,performance_loss_pct,-3.0527971051850655,-12.17872716256017,5.659081979331944,0.5109,19
