comparison,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_setups,n_paired_units,min_units_per_setup,median_units_per_setup,max_units_per_setup,setup_weighting,setup_definition,included_setups,outcome_name,comparison_family,difference_definition,negative_difference_favours,positive_difference_favours,holm_p_value,cross_task_comparability
Composite-RRF - Script,Composite-RRF,Script,raw_oracle_gap_points,-3.0035455411383043,-4.889760847237952,-1.1869731905574314,0.001799910004499775,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,Raw gap,"All methods, macro task-model setups",method_a minus method_b,Composite-RRF,Script,0.08279586020698965,task-metric points; cross-task averages are secondary descriptive results
Composite-RRF - Typological,Composite-RRF,Typological,raw_oracle_gap_points,-1.2518926737535558,-2.3676725599786552,-0.054699557628609716,0.04149792510374481,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,Raw gap,"All methods, macro task-model setups",method_a minus method_b,Composite-RRF,Typological,1.0,task-metric points; cross-task averages are secondary descriptive results
Composite-RRF - Wikipedia size,Composite-RRF,Wikipedia size,raw_oracle_gap_points,-4.142286131204795,-5.935674215633407,-2.421472403934189,9.99950002499875e-05,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,Raw gap,"All methods, macro task-model setups",method_a minus method_b,Composite-RRF,Wikipedia size,0.005499725013749312,task-metric points; cross-task averages are secondary descriptive results
Genetic - Geographic,Genetic,Geographic,raw_oracle_gap_points,-0.2627187036924343,-2.2204425784455535,1.6955365421050659,0.8032598370081496,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,Raw gap,"All methods, macro task-model setups",method_a minus method_b,Genetic,Geographic,1.0,task-metric points; cross-task averages are secondary descriptive results
Genetic - LightGBM,Genetic,LightGBM,raw_oracle_gap_points,1.300219197479626,-0.46200030630857736,3.0187102077211767,0.1414929253537323,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,Raw gap,"All methods, macro task-model setups",method_a minus method_b,Genetic,LightGBM,1.0,task-metric points; cross-task averages are secondary descriptive results
Genetic - MLP,Genetic,MLP,raw_oracle_gap_points,1.6267009513500592,0.11676809483638458,3.256050863484874,0.036698165091745415,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,Raw gap,"All methods, macro task-model setups",method_a minus method_b,Genetic,MLP,1.0,task-metric points; cross-task averages are secondary descriptive results
Genetic - Script,Genetic,Script,raw_oracle_gap_points,-0.8351755942897915,-2.6991232385950856,1.145315024320689,0.39178041097945104,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,Raw gap,"All methods, macro task-model setups",method_a minus method_b,Genetic,Script,1.0,task-metric points; cross-task averages are secondary descriptive results
Genetic - Typological,Genetic,Typological,raw_oracle_gap_points,0.916477273094957,-0.9784033452402786,2.991268567763718,0.3622818859057047,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,Raw gap,"All methods, macro task-model setups",method_a minus method_b,Genetic,Typological,1.0,task-metric points; cross-task averages are secondary descriptive results
Genetic - Wikipedia size,Genetic,Wikipedia size,raw_oracle_gap_points,-1.9739161843562818,-4.195330380204517,0.3932027821875597,0.09749512524373781,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,Raw gap,"All methods, macro task-model setups",method_a minus method_b,Genetic,Wikipedia size,1.0,task-metric points; cross-task averages are secondary descriptive results
Geographic - LightGBM,Geographic,LightGBM,raw_oracle_gap_points,1.5629379011720606,-0.13031114728634347,3.305067868628502,0.07109644517774111,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,Raw gap,"All methods, macro task-model setups",method_a minus method_b,Geographic,LightGBM,1.0,task-metric points; cross-task averages are secondary descriptive results
Geographic - MLP,Geographic,MLP,raw_oracle_gap_points,1.8894196550424935,0.4659155241151098,3.3989675014603007,0.009499525023748812,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,Raw gap,"All methods, macro task-model setups",method_a minus method_b,Geographic,MLP,0.3894805259737013,task-metric points; cross-task averages are secondary descriptive results
Geographic - Script,Geographic,Script,raw_oracle_gap_points,-0.5724568905973569,-1.9409451280883205,0.9672866742587672,0.4274786260686966,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,Raw gap,"All methods, macro task-model setups",method_a minus method_b,Geographic,Script,1.0,task-metric points; cross-task averages are secondary descriptive results
Geographic - Typological,Geographic,Typological,raw_oracle_gap_points,1.1791959767873914,-0.19139029443204406,2.742325959329528,0.0968951552422379,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,Raw gap,"All methods, macro task-model setups",method_a minus method_b,Geographic,Typological,1.0,task-metric points; cross-task averages are secondary descriptive results
Geographic - Wikipedia size,Geographic,Wikipedia size,raw_oracle_gap_points,-1.7111974806638477,-3.042968673307278,-0.3242517299998599,0.018199090045497725,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,Raw gap,"All methods, macro task-model setups",method_a minus method_b,Geographic,Wikipedia size,0.7097645117744112,task-metric points; cross-task averages are secondary descriptive results
LightGBM - MLP,LightGBM,MLP,raw_oracle_gap_points,0.3264817538704332,-0.9004063870945702,1.6511620295045935,0.6256687165641718,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,Raw gap,"All methods, macro task-model setups",method_a minus method_b,LightGBM,MLP,1.0,task-metric points; cross-task averages are secondary descriptive results
LightGBM - Script,LightGBM,Script,raw_oracle_gap_points,-2.135394791769417,-4.231121423638766,-0.03253186951993453,0.04599770011499425,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,Raw gap,"All methods, macro task-model setups",method_a minus method_b,LightGBM,Script,1.0,task-metric points; cross-task averages are secondary descriptive results
LightGBM - Typological,LightGBM,Typological,raw_oracle_gap_points,-0.38374192438466914,-1.9395845262259512,1.3317899576193268,0.6271686415679216,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,Raw gap,"All methods, macro task-model setups",method_a minus method_b,LightGBM,Typological,1.0,task-metric points; cross-task averages are secondary descriptive results
LightGBM - Wikipedia size,LightGBM,Wikipedia size,raw_oracle_gap_points,-3.274135381835909,-5.514699211417982,-0.9947327898908992,0.004099795010249488,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,Raw gap,"All methods, macro task-model setups",method_a minus method_b,LightGBM,Wikipedia size,0.17219139043047849,task-metric points; cross-task averages are secondary descriptive results
