dataset,task,model,model_name,metric,metric_name,outcome,outcome_name,paradigm,expected_methods,observed_methods,missing_methods,n_targets_any_paradigm_method,n_complete_targets,complete_target_fraction
ud_pos_mt5,ud_pos,mt5,mT5,f1_score,F1/LAS,performance_loss_pct,PL (%),Composite,Composite-Equal; Composite-RRF,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,147,147,1.0
ud_pos_mt5,ud_pos,mt5,mT5,f1_score,F1/LAS,performance_loss_pct,PL (%),Trained,LightGBM; MLP,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,147,147,1.0
ud_pos_xlm-r,ud_pos,xlm-r,XLM-R,f1_score,F1/LAS,performance_loss_pct,PL (%),Individual,Genetic; Typological; Geographic; Script; ASJP; Wikipedia size,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,147,147,1.0
ud_pos_xlm-r,ud_pos,xlm-r,XLM-R,f1_score,F1/LAS,performance_loss_pct,PL (%),Composite,Composite-Equal; Composite-RRF,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,147,147,1.0
ud_pos_xlm-r,ud_pos,xlm-r,XLM-R,f1_score,F1/LAS,performance_loss_pct,PL (%),Trained,LightGBM; MLP,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,147,147,1.0
wikiann_mt5,wikiann,mt5,mT5,f1_score,F1/LAS,performance_loss_pct,PL (%),Individual,Genetic; Typological; Geographic; Script; ASJP; Wikipedia size,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,144,144,1.0
wikiann_mt5,wikiann,mt5,mT5,f1_score,F1/LAS,performance_loss_pct,PL (%),Composite,Composite-Equal; Composite-RRF,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,144,144,1.0
wikiann_mt5,wikiann,mt5,mT5,f1_score,F1/LAS,performance_loss_pct,PL (%),Trained,LightGBM; MLP,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,144,144,1.0
wikiann_xlm-r,wikiann,xlm-r,XLM-R,f1_score,F1/LAS,performance_loss_pct,PL (%),Individual,Genetic; Typological; Geographic; Script; ASJP; Wikipedia size,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,144,144,1.0
wikiann_xlm-r,wikiann,xlm-r,XLM-R,f1_score,F1/LAS,performance_loss_pct,PL (%),Composite,Composite-Equal; Composite-RRF,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,144,144,1.0
wikiann_xlm-r,wikiann,xlm-r,XLM-R,f1_score,F1/LAS,performance_loss_pct,PL (%),Trained,LightGBM; MLP,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,144,144,1.0
xnli_mt5,xnli,mt5,mT5,f1_score,F1/LAS,performance_loss_pct,PL (%),Individual,Genetic; Typological; Geographic; Script; ASJP; Wikipedia size,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,15,15,1.0
xnli_mt5,xnli,mt5,mT5,f1_score,F1/LAS,performance_loss_pct,PL (%),Composite,Composite-Equal; Composite-RRF,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,15,15,1.0
xnli_mt5,xnli,mt5,mT5,f1_score,F1/LAS,performance_loss_pct,PL (%),Trained,LightGBM; MLP,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,15,15,1.0
xnli_xlm-r,xnli,xlm-r,XLM-R,f1_score,F1/LAS,performance_loss_pct,PL (%),Individual,Genetic; Typological; Geographic; Script; ASJP; Wikipedia size,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,15,15,1.0
xnli_xlm-r,xnli,xlm-r,XLM-R,f1_score,F1/LAS,performance_loss_pct,PL (%),Composite,Composite-Equal; Composite-RRF,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,15,15,1.0
xnli_xlm-r,xnli,xlm-r,XLM-R,f1_score,F1/LAS,performance_loss_pct,PL (%),Trained,LightGBM; MLP,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,15,15,1.0
