model,model_name,method,method_type,outcome,outcome_name,mean,ci_lower,ci_upper,n_setups,n_paired_units,min_units_per_setup,median_units_per_setup,max_units_per_setup,weighting,cross_task_comparability,included_setups,comparison,method_a,method_b,mean_difference_a_minus_b,bootstrap_p_value,setup_weighting,setup_definition,bootstrap_p_value_vs_zero
mt5,mT5,ASJP,Individual,performance_loss_pct,PL (%),27.326591078359666,15.024712337992867,41.31368737553217,7,1274,9,144.0,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,ASJP - __zero_baseline__,ASJP,__zero_baseline__,27.326591078359666,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
mt5,mT5,Always English,English,performance_loss_pct,PL (%),22.51829105735524,11.254170616752992,36.067944721804324,7,1274,9,144.0,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,Always English - __zero_baseline__,Always English,__zero_baseline__,22.51829105735524,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
mt5,mT5,Composite-Equal,Composite,performance_loss_pct,PL (%),20.829081583060123,11.246630434521489,31.330391878318736,7,1274,9,144.0,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,Composite-Equal - __zero_baseline__,Composite-Equal,__zero_baseline__,20.829081583060123,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
mt5,mT5,Composite-RRF,Composite,performance_loss_pct,PL (%),20.28298091195442,10.808415130132447,30.438028467897382,7,1274,9,144.0,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,Composite-RRF - __zero_baseline__,Composite-RRF,__zero_baseline__,20.28298091195442,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
mt5,mT5,Genetic,Individual,performance_loss_pct,PL (%),24.90170166010918,13.550773355870268,38.02706510383926,7,1274,9,144.0,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,Genetic - __zero_baseline__,Genetic,__zero_baseline__,24.90170166010918,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
mt5,mT5,Geographic,Individual,performance_loss_pct,PL (%),26.56579808359105,13.355505214108215,40.50176155102651,7,1274,9,144.0,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,Geographic - __zero_baseline__,Geographic,__zero_baseline__,26.56579808359105,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
mt5,mT5,LightGBM,Trained,performance_loss_pct,PL (%),25.16924091897042,13.718610703680735,37.89608792053626,7,1274,9,144.0,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,LightGBM - __zero_baseline__,LightGBM,__zero_baseline__,25.16924091897042,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
mt5,mT5,MLP,Trained,performance_loss_pct,PL (%),21.48998918889197,11.831046516574506,32.21102160737979,7,1274,9,144.0,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,MLP - __zero_baseline__,MLP,__zero_baseline__,21.48998918889197,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
mt5,mT5,Script,Individual,performance_loss_pct,PL (%),24.239887694269374,13.661370497806617,36.366816350567106,7,1274,9,144.0,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,Script - __zero_baseline__,Script,__zero_baseline__,24.239887694269374,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
mt5,mT5,Typological,Individual,performance_loss_pct,PL (%),25.175996405562984,12.429477611895404,39.28715960149858,7,1274,9,144.0,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,Typological - __zero_baseline__,Typological,__zero_baseline__,25.175996405562984,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
