model,method,method_type,n_cells_hrl,n_cells_mrl,n_cells_lrl,pl_hrl,pl_mrl,pl_lrl,raw_gap_hrl,raw_gap_mrl,raw_gap_lrl,pl_mrl_minus_hrl,pl_lrl_minus_hrl,raw_gap_mrl_minus_hrl,raw_gap_lrl_minus_hrl
mT5,ASJP,Individual,7,7,7,14.656671129477584,23.65535533413086,30.14008554202768,8.512785154909372,12.077293241540294,11.641457600862458,8.998684204653276,15.483414412550097,3.564508086630923,3.128672445953086
mT5,Always English,English,7,7,7,8.603299734562588,13.023810609876646,28.50645471193467,4.116348095829502,7.80599519165498,10.551042968042037,4.420510875314058,19.903154977372083,3.689647095825478,6.4346948722125346
mT5,Composite-Equal,Composite,7,7,7,13.639864417523158,18.81402561319947,23.591865594279515,8.34634243939916,10.15128770588891,8.497271672719922,5.1741611956763105,9.952001176756356,1.8049452664897494,0.15092923332076147
mT5,Composite-RRF,Composite,7,7,7,11.953807935427468,18.36741089998738,23.440515837514365,6.388717377824549,9.792218680012883,8.555209366427283,6.413602964559912,11.486707902086897,3.4035013021883342,2.1664919886027336
mT5,Genetic,Individual,7,7,7,19.582044569541956,16.93123474452441,27.976633916630743,12.242761633801452,9.560394858900736,10.30445817909919,-2.6508098250175465,8.394589347088786,-2.682366774900716,-1.9383034547022628
mT5,Geographic,Individual,7,7,7,20.647080742037158,23.434894457406582,32.98986295332463,11.595824027074356,11.878731716666639,10.766369291869484,2.787813715369424,12.342782211287474,0.2829076895922835,-0.8294547352048713
mT5,LightGBM,Trained,7,7,7,21.624159123959462,20.699320081544617,29.552778036725584,12.521660256759617,11.428173375741041,11.633240130249003,-0.9248390424148454,7.928618912766122,-1.0934868810185758,-0.8884201265106135
mT5,MLP,Trained,7,7,7,13.418202458579845,18.302814492026965,27.721647267628732,6.932189643717498,10.079197175851064,11.02271544417494,4.8846120334471195,14.303444809048887,3.147007532133566,4.090525800457442
mT5,Script,Individual,7,7,7,21.088879437206774,20.65450611694506,23.951316847711098,11.487426720599066,11.264797288458501,10.269079097566266,-0.43437332026171305,2.8624374105043238,-0.22262943214056463,-1.2183476230328
mT5,Typological,Individual,7,7,7,19.728435401322493,21.43451555065796,36.4409752811582,12.145473842370636,11.83448635893908,12.823548258863152,1.7060801493354667,16.71253987983571,-0.3109874834315569,0.6780744164925157
mT5,Wikipedia size,Individual,7,7,7,14.734145234120263,27.900217728563828,28.6751149184506,8.24690473181949,14.997519547237955,10.221817428954436,13.166072494443565,13.940969684330337,6.750614815418466,1.9749126971349469
XLM-R,ASJP,Individual,8,8,8,24.37708791213684,17.616905271090125,29.580288741160917,14.920044734047531,9.372196242454464,10.6686465783392,-6.760182641046715,5.203200829024077,-5.547848491593067,-4.251398155708332
XLM-R,Always English,English,8,8,8,14.122714316976328,15.236607820962442,31.309449800084643,6.001614319015809,8.22271258855844,11.756303376911426,1.1138935039861142,17.186735483108315,2.2210982695426313,5.754689057895616
XLM-R,Composite-Equal,Composite,8,8,8,13.658627001318429,15.453496901535543,25.174972274094593,6.975910012941078,7.886901477588463,9.575266097610433,1.7948699002171136,11.516345272776164,0.9109914646473847,2.5993560846693544
XLM-R,Composite-RRF,Composite,8,8,8,13.495196557160384,15.553222499013472,26.088449472332137,6.668535843174647,7.952714652373636,9.966267126273433,2.0580259418530886,12.593252915171753,1.2841788091989894,3.297731283098786
XLM-R,Genetic,Individual,8,8,8,21.03181421597928,17.690854510636246,31.732739087715665,10.049624156222936,9.608562694520522,11.435930257374295,-3.3409597053430353,10.700924871736383,-0.44106146170241445,1.3863061011513587
XLM-R,Geographic,Individual,8,8,8,23.164368415767772,20.17127568076113,26.825337825721892,12.448715703665066,11.422515312941734,10.504577585046306,-2.993092735006641,3.66096940995412,-1.0262003907233321,-1.9441381186187598
XLM-R,LightGBM,Trained,8,8,8,12.277545610477272,13.700627159250828,26.25016419337209,5.407679152550999,7.173075165029305,9.468030144536666,1.4230815487735562,13.972618582894818,1.7653960124783055,4.060350991985667
XLM-R,MLP,Trained,8,8,8,16.831736543034523,15.923777086688105,26.35314972022752,7.855871197031082,8.394792705326921,9.92632515057614,-0.9079594563464184,9.521413177192997,0.5389215082958394,2.0704539535450586
XLM-R,Script,Individual,8,8,8,24.05727198885604,23.666128788561977,32.18559179102595,11.425169735128353,14.313309322637835,12.085309865712091,-0.3911432002940636,8.128319802169909,2.8881395875094817,0.6601401305837378
XLM-R,Typological,Individual,8,8,8,19.10146963724101,15.190158930538058,28.056631957084683,9.084885890068158,8.55114643148861,10.655027569690887,-3.9113107067029524,8.955162319843673,-0.5337394585795483,1.5701416796227292
XLM-R,Wikipedia size,Individual,8,8,8,16.570715137319326,24.35853571302105,34.39641113056958,8.878897627162619,14.49726705940876,13.368639424200353,7.787820575701723,17.825695993250257,5.618369432246141,4.489741797037734
