model,resource,oracle_score,source_sd,oracle_minus_median,mean_sources,n_dataset_cells
XLM-R,HRL,71.96835055315493,14.3979597420751,16.21205418838069,55.625,8
XLM-R,LRL,52.92136434677162,8.787015488525213,16.096199341464068,55.625,8
XLM-R,MRL,73.25080879256353,14.173990987764205,17.090423019249403,55.625,8
mT5,HRL,70.00888401090828,12.518243199696512,14.069203796247946,53.142857142857146,7
mT5,LRL,54.73395011592634,8.978846534920155,12.961890531032012,53.142857142857146,7
mT5,MRL,69.08291461656542,12.42948191546885,15.118244692528934,53.142857142857146,7
