model,model_name,method,method_type,outcome,mean,ci_lower,ci_upper,n_units,outcome_name,cross_task_comparability,weighting
xlm-r,XLM-R,Composite-Equal,Composite,raw_oracle_gap_points,8.38978114332679,7.844440676490487,8.958172855040278,1421,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,Composite-RRF,Composite,performance_loss_pct,28.3583879833038,26.961255281761602,29.762033647632688,1421,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,Composite-RRF,Composite,raw_oracle_gap_points,9.040281111720345,8.479728365795674,9.604084249795445,1421,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,Genetic,Individual,performance_loss_pct,44.99573822109918,43.416583324695225,46.5607619332124,1421,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,Genetic,Individual,raw_oracle_gap_points,12.516917954811994,12.001239903688626,13.032251955130592,1421,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,Geographic,Individual,performance_loss_pct,33.66485926569024,32.214274912709136,35.143799753303696,1421,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,Geographic,Individual,raw_oracle_gap_points,11.043319075638,10.398243051996953,11.715801592019533,1421,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,LightGBM,Trained,performance_loss_pct,35.423913235063196,33.86128234163859,37.01411999172211,1421,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,LightGBM,Trained,raw_oracle_gap_points,9.997160786037645,9.489743077079517,10.519136378364275,1421,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,MLP,Trained,performance_loss_pct,30.334051529342215,28.885721001937917,31.784606112141994,1421,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,MLP,Trained,raw_oracle_gap_points,9.154662189024881,8.632846821624101,9.695735847357648,1421,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,Script,Individual,performance_loss_pct,45.25011316303922,43.789758356409024,46.71485638488466,1421,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,Script,Individual,raw_oracle_gap_points,13.850897370442464,13.261466501193308,14.460802633655485,1421,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,Typological,Individual,performance_loss_pct,36.32718178721025,34.791889327718245,37.85008453017725,1421,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,Typological,Individual,raw_oracle_gap_points,10.935573044819176,10.386412491980856,11.494143342028574,1421,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,Wikipedia size,Individual,performance_loss_pct,48.0838952519829,46.67183929444592,49.51968821444985,1421,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
xlm-r,XLM-R,Wikipedia size,Individual,raw_oracle_gap_points,15.201241191557552,14.593031561481585,15.822510756798142,1421,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
