model,method,n_dataset_cells_hrl,n_dataset_cells_lrl,n_dataset_cells_mrl,performance_loss_pct_hrl,performance_loss_pct_lrl,performance_loss_pct_mrl,raw_oracle_gap_points_hrl,raw_oracle_gap_points_lrl,raw_oracle_gap_points_mrl,performance_loss_pct_mrl_minus_hrl,performance_loss_pct_lrl_minus_hrl,raw_oracle_gap_points_mrl_minus_hrl,raw_oracle_gap_points_lrl_minus_hrl
mt5,composite_equal,8,7,8,12.067695829147778,19.745755118795504,18.924069883206744,6.425383407196472,6.839387752078501,8.982622679941798,6.856374054058966,7.6780592896477255,2.557239272745326,0.414004344882029
mt5,lightgbm_lambdarank,8,7,8,10.908262756759335,15.419624393706238,13.198906833453634,4.905930765352855,5.757899494386208,6.3647610463542446,2.2906440766942993,4.511361636946903,1.4588302810013891,0.8519687290333522
mt5,mlp_listnet,8,7,8,12.876254110613925,17.226181942522523,13.985670164158297,5.865201819555169,6.372130874045193,7.3263691467371315,1.109416053544372,4.349927831908598,1.461167327181962,0.5069290544900236
mt5,nnrank,8,7,8,11.34166269501136,18.951424562829946,20.707701109677984,6.617853910323725,6.540623273378602,9.510291069425012,9.366038414666624,7.609761867818586,2.892437159101287,-0.07723063694512344
mt5,rrf_equal,8,7,8,12.29825096261784,20.67030599086988,20.90401418021171,5.687686041253742,6.985372154982328,9.637045143816412,8.605763217593871,8.372055028252042,3.9493591025626698,1.2976861137285862
mt5,single_distals_asjp,8,7,8,13.895572483384273,24.900597274661227,22.602799025333503,5.908502412701831,8.909648684382422,10.681441886004816,8.70722654194923,11.005024791276954,4.772939473302984,3.0011462716805903
mt5,single_distals_wiki_size,8,7,8,14.430740156177237,29.91979264051022,29.97962042098073,6.615820818358805,9.687386146958323,12.988350334337024,15.548880264803493,15.489052484332984,6.372529515978219,3.071565328599518
mt5,single_new_gen,8,7,8,18.089403431094585,27.21325851779299,16.906694295053146,9.956738444075679,9.6038233291936,8.58072431784851,-1.1827091360414386,9.123855086698406,-1.3760141262271688,-0.3529151148820784
mt5,single_new_geo,8,7,8,12.335130104795276,20.596340735257126,23.024561927179118,6.341597591628742,7.172415572306901,10.837248578933199,10.689431822383842,8.26121063046185,4.495650987304457,0.8308179806781597
mt5,single_new_typ,8,7,8,17.722233305099437,21.35774235529485,26.20481741360636,9.97194499024529,6.5088949193502765,12.179028218220214,8.482584108506924,3.635509050195413,2.2070832279749233,-3.4630500708950143
mt5,single_script,8,7,8,19.94945155087809,21.115158612240343,17.77623791539936,9.035375191497554,7.312876051942998,8.166567118899179,-2.1732136354787315,1.1657070613622516,-0.8688080725983749,-1.7224991395545564
xlm-r,composite_equal,8,7,8,9.938866636067495,26.184748141655238,11.095925558023042,3.4659237142555606,9.712813500378404,6.516923371953484,1.1570589219555476,16.245881505587743,3.0509996576979237,6.246889786122844
xlm-r,lightgbm_lambdarank,8,7,8,11.567576999502617,21.470680399987938,8.992857838692034,5.843433803920037,8.74302168234363,5.839782173451772,-2.5747191608105826,9.903103400485321,-0.0036516304682656653,2.899587878423592
xlm-r,mlp_listnet,8,7,8,8.783160595806148,19.64602152795472,10.981020044385033,4.931353643892304,7.546017642105353,6.878728650488616,2.1978594485788854,10.862860932148571,1.947375006596312,2.6146639982130493
xlm-r,nnrank,8,7,8,7.908121815326869,26.636694912337212,8.526401233492514,4.486058130430615,10.36853496688497,4.96857682036527,0.6182794181656455,18.728573097010344,0.48251868993465497,5.882476836454356
xlm-r,rrf_equal,8,7,8,8.41916566496295,25.562237094776908,10.70098035009447,4.742234476270575,9.219645378414674,6.470818548730296,2.28181468513152,17.143071429813958,1.7285840724597215,4.477410902144099
xlm-r,single_distals_asjp,8,7,8,14.389661214073543,29.59472087730612,11.557243571317084,8.43243903433191,10.713326149583816,7.0511450422411945,-2.832417642756459,15.205059663232577,-1.3812939920907157,2.2808871152519057
xlm-r,single_distals_wiki_size,8,7,8,14.02142044230664,38.30663136222758,19.551588741875573,6.692111240949419,14.122031624604379,13.066825393280286,5.530168299568933,24.285210919920935,6.374714152330867,7.429920383654959
xlm-r,single_new_gen,8,7,8,13.682967418137194,32.79389179895862,11.83959816733456,6.736978465399629,11.703433682929399,7.205697481923008,-1.8433692508026347,19.110924380821423,0.4687190165233792,4.96645521752977
xlm-r,single_new_geo,8,7,8,13.782185294103774,26.789390138354044,14.426865804089635,8.920811494182981,10.278685691365737,8.212663779162632,0.6446805099858608,13.00720484425027,-0.708147715020349,1.3578741971827561
xlm-r,single_new_typ,8,7,8,12.85788185003248,26.05800378601085,10.80995623635303,6.099982614469094,9.267083272643337,6.587577468750058,-2.0479256136794515,13.20012193597837,0.48759485428096383,3.1671006581742427
xlm-r,single_script,8,7,8,16.528864398006377,29.366048205844177,16.040765591177546,8.375196143354781,10.754614119584852,10.384076169641691,-0.48809880682883033,12.8371838078378,2.00888002628691,2.379417976230071
