model,method,method_group,target_resource_level,n_dataset_cells,n_targets,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss
mt5,composite_equal,composite,hrl,5,9,30.0,0.5309288793401696,0.9428571428571428,0.8,0.01603413095302147
mt5,composite_equal,composite,lrl,5,899,28.20692798541477,0.6306685621116114,0.9179580674567,0.8021877848678214,0.012100581798296815
mt5,composite_equal,composite,mrl,5,45,32.829015544041454,0.5275153413479284,0.9792746113989638,0.7875647668393783,0.006995776609257375
mt5,lightgbm_lambdarank,trained,hrl,5,9,26.02857142857143,0.44320972766710093,0.8857142857142857,0.7142857142857143,0.018005187764154593
mt5,lightgbm_lambdarank,trained,lrl,5,899,17.46581586144029,0.3536129020897662,0.9216043755697356,0.7821330902461258,0.01199754833999078
mt5,lightgbm_lambdarank,trained,mrl,5,45,28.352331606217618,0.4688300545318858,0.9585492227979274,0.7564766839378239,0.006730975994534127
mt5,mlp_listnet,trained,hrl,5,9,24.34285714285714,0.41862591244964514,0.9428571428571428,0.6857142857142857,0.014197795243070988
mt5,mlp_listnet,trained,lrl,5,899,18.361896080218777,0.3794368983517147,0.8988149498632635,0.7474931631722881,0.015669087030697575
mt5,mlp_listnet,trained,mrl,5,45,26.844559585492227,0.44533057079299715,0.9637305699481865,0.7409326424870466,0.008453912407593755
mt5,rrf_equal,composite,hrl,5,9,31.4,0.5650191300583005,0.9428571428571428,0.8,0.011772792671621254
mt5,rrf_equal,composite,lrl,5,899,31.54238833181404,0.7264084492443872,0.9252506836827712,0.8094804010938924,0.010793648637658488
mt5,rrf_equal,composite,mrl,5,45,33.51813471502591,0.5506672494810958,0.9740932642487047,0.844559585492228,0.0060525763032822704
mt5,single_distals_asjp,individual,hrl,5,9,37.57142857142857,0.6511101550859615,0.9142857142857143,0.7714285714285715,0.014580259545017439
mt5,single_distals_asjp,individual,lrl,5,899,34.23518687329079,0.7848233981119701,0.9316317228805834,0.8122151321786691,0.010949801271359918
mt5,single_distals_asjp,individual,mrl,5,45,38.259067357512954,0.6266270891680441,0.9689119170984456,0.7927461139896373,0.008439114796850194
mt5,single_distals_wiki_size,individual,hrl,5,9,39.05714285714286,0.7212504313068829,0.9714285714285714,0.8857142857142857,0.003690318213133262
mt5,single_distals_wiki_size,individual,lrl,5,899,34.62351868732908,0.8199206451287522,0.9006381039197813,0.7775752051048314,0.01524652391883082
mt5,single_distals_wiki_size,individual,mrl,5,45,40.461139896373055,0.7041088139364041,0.9948186528497409,0.8341968911917098,0.002956082614557905
mt5,single_new_gen,individual,hrl,5,9,33.885714285714286,0.54592310826297,0.9428571428571428,0.7714285714285715,0.007831996702548865
mt5,single_new_gen,individual,lrl,5,899,30.554238833181405,0.640941269540532,0.9206927985414768,0.7976298997265269,0.011656065097687053
mt5,single_new_gen,individual,mrl,5,45,36.134715025906736,0.5387930385260324,0.9896373056994818,0.7564766839378239,0.004206449616008762
mt5,single_new_geo,individual,hrl,5,9,32.457142857142856,0.6011439316208901,1.0,0.7428571428571429,0.00258498398014038
mt5,single_new_geo,individual,lrl,5,899,31.945305378304468,0.7568657802427857,0.9325432999088423,0.8076572470373746,0.011084757420468766
mt5,single_new_geo,individual,mrl,5,45,34.13989637305699,0.5780193263262032,0.9533678756476683,0.7668393782383419,0.01007650431403302
mt5,single_new_typ,individual,hrl,5,9,33.714285714285715,0.6193215139102236,0.9142857142857143,0.7142857142857143,0.013791527646472514
mt5,single_new_typ,individual,lrl,5,899,30.808568824065635,0.7316135784524217,0.92616226071103,0.7830446672743847,0.01234233561560561
mt5,single_new_typ,individual,mrl,5,45,34.943005181347154,0.6088571944589554,0.9844559585492227,0.7409326424870466,0.005992277968408261
mt5,single_script,individual,hrl,5,9,31.942857142857143,0.5648367882365578,0.9142857142857143,0.7428571428571429,0.016093348618581752
mt5,single_script,individual,lrl,5,899,22.76390154968095,0.4872842518936566,0.9079307201458523,0.7702825888787602,0.014880180643592679
mt5,single_script,individual,mrl,5,45,34.49740932642487,0.5889527260074824,0.9533678756476683,0.7098445595854922,0.010232530730566108
xlm-r,composite_equal,composite,hrl,5,9,42.583333333333336,0.5132986111111112,0.9722222222222222,0.7777777777777778,0.006001800026201105
xlm-r,composite_equal,composite,lrl,5,899,33.42128027681661,0.5787587570038316,0.8918685121107266,0.8027681660899654,0.020303480628637915
xlm-r,composite_equal,composite,mrl,5,45,44.87564766839378,0.4863720492466151,0.9430051813471503,0.772020725388601,0.007858196309052323
xlm-r,lightgbm_lambdarank,trained,hrl,5,9,22.13888888888889,0.2826998409379681,0.8888888888888888,0.5833333333333334,0.030090403467309075
xlm-r,lightgbm_lambdarank,trained,lrl,5,899,13.875432525951558,0.23572426972415667,0.8832179930795848,0.7655709342560554,0.023192992921516255
xlm-r,lightgbm_lambdarank,trained,mrl,5,45,21.196891191709845,0.25995109356859486,0.9067357512953368,0.616580310880829,0.014310767194029092
xlm-r,mlp_listnet,trained,hrl,5,9,22.444444444444443,0.361921628169388,0.9722222222222222,0.8055555555555556,0.003835595231590364
xlm-r,mlp_listnet,trained,lrl,5,899,20.25,0.4639521328162476,0.8970588235294118,0.7837370242214533,0.02071027380480015
xlm-r,mlp_listnet,trained,mrl,5,45,22.155440414507773,0.32594989308579064,0.9378238341968912,0.6528497409326425,0.012378542237480925
xlm-r,rrf_equal,composite,hrl,5,9,43.22222222222222,0.5221274783808386,1.0,0.8611111111111112,0.00149128221751175
xlm-r,rrf_equal,composite,lrl,5,899,35.67214532871972,0.6331977117020019,0.8866782006920415,0.8079584775086506,0.02210180885034698
xlm-r,rrf_equal,composite,mrl,5,45,45.67875647668394,0.49419333617994954,0.9430051813471503,0.8031088082901554,0.008695746779025399
xlm-r,single_distals_asjp,individual,hrl,5,9,42.361111111111114,0.5754386295537729,1.0,0.8333333333333334,0.0018197862455593251
xlm-r,single_distals_asjp,individual,lrl,5,899,37.40657439446367,0.7445464107091538,0.884083044982699,0.7941176470588235,0.027047267099601327
xlm-r,single_distals_asjp,individual,mrl,5,45,43.06217616580311,0.5276960161635892,0.9637305699481865,0.7772020725388601,0.009637730027322019
xlm-r,single_distals_wiki_size,individual,hrl,5,9,54.55555555555556,0.7177493907758244,0.9722222222222222,0.8888888888888888,0.003605869650172739
xlm-r,single_distals_wiki_size,individual,lrl,5,899,40.312283737024224,0.7379931327399536,0.9316608996539792,0.8676470588235294,0.01341796597826652
xlm-r,single_distals_wiki_size,individual,mrl,5,45,57.1139896373057,0.7038674106624939,0.9844559585492227,0.8290155440414507,0.004256308763980333
xlm-r,single_new_gen,individual,hrl,5,9,47.083333333333336,0.569271360774497,0.9722222222222222,0.7777777777777778,0.0061293531201435
xlm-r,single_new_gen,individual,lrl,5,899,37.8538062283737,0.65253591583209,0.884083044982699,0.7863321799307958,0.022462264632883824
xlm-r,single_new_gen,individual,mrl,5,45,50.43523316062176,0.5532552221622424,0.9689119170984456,0.7668393782383419,0.007152006608699465
xlm-r,single_new_geo,individual,hrl,5,9,49.666666666666664,0.6189046884185774,0.9722222222222222,0.8055555555555556,0.004470146288944652
xlm-r,single_new_geo,individual,lrl,5,899,43.871107266435985,0.8088300491989256,0.9160899653979239,0.8633217993079585,0.01767436921820914
xlm-r,single_new_geo,individual,mrl,5,45,53.35233160621762,0.5815909471998443,0.9533678756476683,0.7357512953367875,0.008926253240559618
xlm-r,single_new_typ,individual,hrl,5,9,41.22222222222222,0.5748700361267566,0.9166666666666666,0.8333333333333334,0.010107637516827646
xlm-r,single_new_typ,individual,lrl,5,899,31.89273356401384,0.6043514392246,0.8901384083044983,0.7785467128027682,0.020725576936011327
xlm-r,single_new_typ,individual,mrl,5,45,43.067357512953365,0.5543362626487731,0.9585492227979274,0.7616580310880829,0.007410453034546179
xlm-r,single_script,individual,hrl,5,9,45.19444444444444,0.6230264455443666,0.9166666666666666,0.6666666666666666,0.016037866474568202
xlm-r,single_script,individual,lrl,5,899,35.29065743944636,0.6750088132847444,0.9368512110726643,0.8512110726643599,0.011862229385080272
xlm-r,single_script,individual,mrl,5,45,49.409326424870464,0.6314177585114046,0.9637305699481865,0.7409326424870466,0.0074678032486182695
