dataset,task,model,metric,method,method_group,outcome,mean,ci_lower,ci_upper,n_units
sib200_xlm-r,sib200,xlm-r,f1_score,always_eng,baseline,actual_best_performance_points,68.91182535748403,65.72728050919163,71.96973986464491,185
sib200_xlm-r,sib200,xlm-r,f1_score,always_eng,baseline,predicted_performance_points,61.974653599274085,58.3777695892745,65.42502671224705,185
sib200_xlm-r,sib200,xlm-r,f1_score,composite_equal,composite,performance_loss_pct,27.879051075105767,23.235964157050084,32.68204826889269,185
sib200_xlm-r,sib200,xlm-r,f1_score,composite_equal,composite,raw_oracle_gap_points,14.756310688952832,12.200570828633513,17.452521440185116,185
sib200_xlm-r,sib200,xlm-r,f1_score,composite_equal,composite,actual_best_performance_points,68.64534434104787,65.465259821811,71.69113823243005,185
sib200_xlm-r,sib200,xlm-r,f1_score,composite_equal,composite,predicted_performance_points,53.88903365209504,49.11368476680665,58.47333924592995,185
sib200_xlm-r,sib200,xlm-r,f1_score,lightgbm_lambdarank,trained,performance_loss_pct,24.918718244881934,20.52785783157401,29.512055585050227,185
sib200_xlm-r,sib200,xlm-r,f1_score,lightgbm_lambdarank,trained,raw_oracle_gap_points,16.746577937605437,13.360920998019926,20.328814534560152,185
sib200_xlm-r,sib200,xlm-r,f1_score,lightgbm_lambdarank,trained,actual_best_performance_points,68.64534434104787,65.465259821811,71.69113823243005,185
sib200_xlm-r,sib200,xlm-r,f1_score,lightgbm_lambdarank,trained,predicted_performance_points,51.89876640344244,47.68654824154093,55.95202951624927,185
sib200_xlm-r,sib200,xlm-r,f1_score,mlp_listnet,trained,performance_loss_pct,34.26770481947835,29.256967075889136,39.495820848599166,185
sib200_xlm-r,sib200,xlm-r,f1_score,mlp_listnet,trained,raw_oracle_gap_points,20.382108633423748,17.094577217004872,23.91962357088284,185
sib200_xlm-r,sib200,xlm-r,f1_score,mlp_listnet,trained,actual_best_performance_points,68.64534434104787,65.465259821811,71.69113823243005,185
sib200_xlm-r,sib200,xlm-r,f1_score,mlp_listnet,trained,predicted_performance_points,48.263235707624126,43.5874952846207,52.82560615645122,185
sib200_xlm-r,sib200,xlm-r,f1_score,rrf_equal,composite,performance_loss_pct,28.926736089134323,24.198192150948334,33.88114007674018,185
sib200_xlm-r,sib200,xlm-r,f1_score,rrf_equal,composite,raw_oracle_gap_points,15.400443070042034,12.8226150864449,18.186795371798905,185
sib200_xlm-r,sib200,xlm-r,f1_score,rrf_equal,composite,actual_best_performance_points,68.64534434104787,65.465259821811,71.69113823243005,185
sib200_xlm-r,sib200,xlm-r,f1_score,rrf_equal,composite,predicted_performance_points,53.24490127100583,48.4348653367954,57.86715117492662,185
sib200_xlm-r,sib200,xlm-r,f1_score,single_distals_asjp,individual,performance_loss_pct,28.487811458855198,23.83040593330371,33.29193739799881,185
sib200_xlm-r,sib200,xlm-r,f1_score,single_distals_asjp,individual,raw_oracle_gap_points,15.722717334800882,13.020043177332916,18.629632317163956,185
sib200_xlm-r,sib200,xlm-r,f1_score,single_distals_asjp,individual,actual_best_performance_points,68.64534434104787,65.465259821811,71.69113823243005,185
sib200_xlm-r,sib200,xlm-r,f1_score,single_distals_asjp,individual,predicted_performance_points,52.92262700624698,48.378272517252675,57.36882564706562,185
sib200_xlm-r,sib200,xlm-r,f1_score,single_distals_wiki_size,individual,performance_loss_pct,34.493927442122214,29.878000550296637,39.245828580824565,185
sib200_xlm-r,sib200,xlm-r,f1_score,single_distals_wiki_size,individual,raw_oracle_gap_points,20.483027306400842,17.526830275760062,23.587388391506668,185
