model,target_resource_level,oracle_score_points,source_score_sd_points,oracle_minus_median_points,mean_n_sources,n_dataset_cells
mt5,hrl,64.45589766288953,11.368313674013873,16.27992792531686,51.25,8
mt5,lrl,57.07681564963698,8.205738034245964,12.790300304993249,52.125,8
mt5,mrl,63.68473374415529,11.387262532462145,15.99335824018011,51.25,8
xlm-r,hrl,70.52895571421178,13.617351443603718,17.641795537427143,55.625,8
xlm-r,lrl,58.746422431108826,9.61818307630138,19.17497576842728,56.5,8
xlm-r,mrl,73.19852130083743,14.159029737414555,17.179848362831024,55.625,8
