dataset,task,model,model_name,metric,metric_name,method,method_type,outcome,outcome_name,mean,ci_lower,ci_upper,n_units
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,Individual,performance_loss_pct,PL (%),5.311197031769664,1.3145991728236661,9.59424155316981,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,Individual,raw_oracle_gap_points,Raw gap,2.477601320737142,0.7247178066218973,4.451346595077446,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM,Trained,performance_loss_pct,PL (%),7.155161980779498,2.48245009136912,12.691005311239579,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM,Trained,raw_oracle_gap_points,Raw gap,3.566060799155698,1.1288958340730004,6.713167990867326,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,MLP,Trained,performance_loss_pct,PL (%),7.207494491871971,2.302106375083195,13.062871773259829,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,MLP,Trained,raw_oracle_gap_points,Raw gap,3.6092570537688418,1.0332077860737077,6.9977691876195305,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,NNRank,NNRank,performance_loss_pct,PL (%),12.763690725074909,6.357935280167196,19.920370308533595,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,NNRank,NNRank,raw_oracle_gap_points,Raw gap,6.602844804549744,3.0672402718821443,10.633795586361176,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Script,Individual,performance_loss_pct,PL (%),14.021259848580934,7.7259547046576635,21.26186466360459,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Script,Individual,raw_oracle_gap_points,Raw gap,6.93518321179784,3.730077362575403,10.62035265839824,10
