dataset,task,model,model_name,metric,metric_name,method,method_type,outcome,outcome_name,mean,ci_lower,ci_upper,n_units
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Script,Individual,performance_loss_pct,PL (%),22.40608718907157,15.44866557615324,30.38654074829155,19
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Script,Individual,raw_oracle_gap_points,Raw gap,12.39777896404559,8.02350640922737,17.91284304230286,19
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Typological,Individual,performance_loss_pct,PL (%),22.687826134339172,14.568972711048723,31.592301004421017,19
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Typological,Individual,raw_oracle_gap_points,Raw gap,12.658212365394496,7.494883379066683,18.811797595045718,19
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Wikipedia size,Individual,performance_loss_pct,PL (%),26.896337129116727,18.393935389289187,35.62974585071222,19
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Wikipedia size,Individual,raw_oracle_gap_points,Raw gap,15.06640949174673,9.696253223097445,21.145505129695636,19
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,ASJP,Individual,performance_loss_pct,PL (%),22.3240545996518,17.16579224185998,27.754035966044803,87
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,ASJP,Individual,raw_oracle_gap_points,Raw gap,2.381037336642971,1.666838788082266,3.214758701054713,87
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Composite-Equal,Composite,performance_loss_pct,PL (%),25.404283807311614,19.930698771477008,31.030081433424698,87
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Composite-Equal,Composite,raw_oracle_gap_points,Raw gap,2.904035203278959,2.0910585984366166,3.805512437227232,87
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Composite-RRF,Composite,performance_loss_pct,PL (%),26.192028330430354,20.466657713446974,32.11633650431118,87
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Composite-RRF,Composite,raw_oracle_gap_points,Raw gap,3.070568606215849,2.1612731553538014,4.088051379166914,87
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Genetic,Individual,performance_loss_pct,PL (%),24.74631882538746,19.643991925557213,30.077064642609262,87
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Genetic,Individual,raw_oracle_gap_points,Raw gap,3.0729802960664774,2.157670509394813,4.120559181183793,87
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Geographic,Individual,performance_loss_pct,PL (%),29.57207820348583,23.472051014652568,35.80442216735118,87
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,Geographic,Individual,raw_oracle_gap_points,Raw gap,3.5831117601701363,2.5743687235069337,4.6932250692426,87
opus100_mt5,opus100,mt5,mT5,bleu,BLEU,LightGBM,Trained,performance_loss_pct,PL (%),18.57294643331102,13.572409857199531,23.7533120798624,87
