dataset,task,model,model_name,metric,metric_name,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Genetic,LightGBM,performance_loss_pct,0.8293247481175052,-1.3558000555631282,3.7734042321089234,0.5860706964651767,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Genetic,MLP,performance_loss_pct,-0.32352849114378684,-3.5978890957609444,3.172725566601501,0.840057997100145,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Genetic,NNRank,performance_loss_pct,-1.112907756373641,-4.585461653389962,1.827756347173644,0.5292735363231839,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Genetic,Script,performance_loss_pct,-4.038354175249328,-9.806769369820751,0.6803916863229494,0.11409429528523574,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Genetic,Typological,performance_loss_pct,0.9210227230425782,0.12166385985788504,1.8493621569683,0.018899055047247638,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Genetic,Wikipedia size,performance_loss_pct,-5.097106559767893,-9.017170763011508,-1.322748490212145,0.00759962001899905,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Geographic,LightGBM,performance_loss_pct,2.1684317863938176,-1.217857753702305,6.098555752327692,0.25228738563071845,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Geographic,MLP,performance_loss_pct,1.015578547132526,-1.9101697889355158,4.219249489571962,0.5263736813159342,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Geographic,NNRank,performance_loss_pct,0.22619928190267177,-3.773700877134177,4.297347087840372,0.9248537573121344,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Geographic,Script,performance_loss_pct,-2.6992471369730153,-7.710132557907035,1.1525425451304576,0.22668866556672165,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Geographic,Typological,performance_loss_pct,2.2601297613188907,-0.2873426328656528,5.343243009141372,0.0887955602219889,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Geographic,Wikipedia size,performance_loss_pct,-3.7579995214915796,-7.642570631910322,-0.12117846328158073,0.04189790510474476,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,LightGBM,MLP,performance_loss_pct,-1.1528532392612918,-4.077927025613361,1.2491848950341178,0.42987850607469624,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,LightGBM,NNRank,performance_loss_pct,-1.942232504491146,-7.316898021747692,1.8524728344465555,0.49297535123243835,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,LightGBM,Script,performance_loss_pct,-4.867678923366833,-10.313623671118224,-0.4856059448252689,0.022298885055747213,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,LightGBM,Typological,performance_loss_pct,0.09169797492507303,-3.12721134610771,2.558726415655487,0.887255637218139,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,LightGBM,Wikipedia size,performance_loss_pct,-5.926431307885398,-10.163149223678781,-1.606737644196958,0.006899655017249137,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,MLP,NNRank,performance_loss_pct,-0.7893792652298541,-7.005720117550425,4.417524672684185,0.832358382080896,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,MLP,Script,performance_loss_pct,-3.7148256841055405,-9.896390066103233,0.8919990791782263,0.15299235038248088,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,MLP,Typological,performance_loss_pct,1.2445512141863648,-2.5310818697188453,4.696503966485265,0.5004749762511874,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,MLP,Wikipedia size,performance_loss_pct,-4.773578068624106,-8.682467679441512,-0.7723510277493505,0.0191990400479976,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,NNRank,Script,performance_loss_pct,-2.9254464188756875,-9.193604604458633,3.085640591245268,0.34778261086945655,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,NNRank,Typological,performance_loss_pct,2.0339304794162194,-0.781818101509358,5.226385053686908,0.18389080545972702,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,NNRank,Wikipedia size,performance_loss_pct,-3.9841988033942513,-9.16557892059823,1.1971813138097283,0.13579321033948302,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Script,Typological,performance_loss_pct,4.959376898291906,0.3185068051604631,10.439936174212898,0.032098395080245985,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Script,Wikipedia size,performance_loss_pct,-1.0587523845185651,-6.521311429765092,5.715363030499765,0.6851657417129143,10
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Typological,Wikipedia size,performance_loss_pct,-6.01812928281047,-9.710194752013798,-2.53027302369577,9.99950002499875e-05,10
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Composite-Equal,performance_loss_pct,-2.4830017626711602,-8.895534930596554,4.341427529574735,0.45297735113244336,10
