dataset,task,model,metric,method,method_type,resource,n_targets,trial_complexity,pool_fraction,near_oracle_coverage,exact_best_coverage,best_in_set_pl,large_enough_for_main_ctc
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,MLP,Trained,LRL,701,13.286733238231099,0.44291406365290964,0.8758915834522111,0.8259629101283881,0.020024860363071443,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,MLP,Trained,MRL,24,12.833333333333334,0.4418582375478927,0.9583333333333334,0.7083333333333334,0.009333575687123771,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,NNRank,NNRank,HRL,7,23.0,0.7893267651888342,1.0,0.7142857142857143,0.003419476601105886,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,NNRank,NNRank,LRL,701,23.0,0.7667043796218866,0.9671897289586305,0.9429386590584878,0.00679673916718099,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,NNRank,NNRank,MRL,24,23.0,0.7920019157088123,0.9583333333333334,0.875,0.00575230190078485,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,Script,Individual,HRL,7,11.0,0.3768472906403941,1.0,0.5714285714285714,0.007905226668023286,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,Script,Individual,LRL,701,11.252496433666192,0.3751028907800023,0.8659058487874465,0.8059914407988588,0.021422731699859383,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,Script,Individual,MRL,24,10.458333333333334,0.3602011494252873,0.9166666666666666,0.625,0.01428740378982638,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,Typological,Individual,HRL,7,20.0,0.6868637110016421,1.0,0.8571428571428571,0.0017425976573599144,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,Typological,Individual,LRL,701,20.549215406562055,0.6850099201469165,0.905848787446505,0.8573466476462197,0.014424830410299964,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,Typological,Individual,MRL,24,20.958333333333332,0.7216475095785441,0.9583333333333334,0.8333333333333334,0.0035346004016123707,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,Wikipedia size,Individual,HRL,7,23.0,0.7893267651888342,1.0,0.8571428571428571,0.0017425976573599144,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,Wikipedia size,Individual,LRL,701,23.0,0.7667043796218866,0.9757489300998573,0.9586305278174037,0.005024387867001346,True
taxi1500_xlm-r,taxi1500,XLM-R,F1/LAS,Wikipedia size,Individual,MRL,24,23.0,0.7920019157088123,1.0,0.9166666666666666,0.00137644881009505,True
tydiqa_mt5,tydiqa,mT5,F1/LAS,ASJP,Individual,HRL,1,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,ASJP,Individual,LRL,2,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,ASJP,Individual,MRL,5,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,Composite-Equal,Composite,HRL,1,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,Composite-Equal,Composite,LRL,2,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,Composite-Equal,Composite,MRL,5,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,Composite-RRF,Composite,HRL,1,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,Composite-RRF,Composite,LRL,2,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,Composite-RRF,Composite,MRL,5,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,Genetic,Individual,HRL,1,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,Genetic,Individual,LRL,2,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,Genetic,Individual,MRL,5,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,Geographic,Individual,HRL,1,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,Geographic,Individual,LRL,2,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,Geographic,Individual,MRL,5,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,LightGBM,Trained,HRL,1,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,LightGBM,Trained,LRL,2,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,LightGBM,Trained,MRL,5,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,MLP,Trained,HRL,1,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,MLP,Trained,LRL,2,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,MLP,Trained,MRL,5,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,NNRank,NNRank,HRL,1,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,NNRank,NNRank,LRL,2,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,NNRank,NNRank,MRL,5,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,Script,Individual,HRL,1,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,Script,Individual,LRL,2,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,Script,Individual,MRL,5,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,Typological,Individual,HRL,1,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,Typological,Individual,LRL,2,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,Typological,Individual,MRL,5,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,Wikipedia size,Individual,HRL,1,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,Wikipedia size,Individual,LRL,2,7.0,1.0,1.0,1.0,0.0,False
tydiqa_mt5,tydiqa,mT5,F1/LAS,Wikipedia size,Individual,MRL,5,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,ASJP,Individual,HRL,1,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,ASJP,Individual,LRL,2,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,ASJP,Individual,MRL,5,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,Composite-Equal,Composite,HRL,1,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,Composite-Equal,Composite,LRL,2,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,Composite-Equal,Composite,MRL,5,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,Composite-RRF,Composite,HRL,1,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,Composite-RRF,Composite,LRL,2,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,Composite-RRF,Composite,MRL,5,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,Genetic,Individual,HRL,1,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,Genetic,Individual,LRL,2,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,Genetic,Individual,MRL,5,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,Geographic,Individual,HRL,1,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,Geographic,Individual,LRL,2,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,Geographic,Individual,MRL,5,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,LightGBM,Trained,HRL,1,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,LightGBM,Trained,LRL,2,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,LightGBM,Trained,MRL,5,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,MLP,Trained,HRL,1,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,MLP,Trained,LRL,2,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,MLP,Trained,MRL,5,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,NNRank,NNRank,HRL,1,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,NNRank,NNRank,LRL,2,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,NNRank,NNRank,MRL,5,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,Script,Individual,HRL,1,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,Script,Individual,LRL,2,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,Script,Individual,MRL,5,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,Typological,Individual,HRL,1,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,Typological,Individual,LRL,2,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,Typological,Individual,MRL,5,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,Wikipedia size,Individual,HRL,1,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,Wikipedia size,Individual,LRL,2,7.0,1.0,1.0,1.0,0.0,False
tydiqa_xlm-r,tydiqa,XLM-R,F1/LAS,Wikipedia size,Individual,MRL,5,7.0,1.0,1.0,1.0,0.0,False
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,ASJP,Individual,HRL,5,24.4,0.6594594594594595,0.8,0.8,0.0786828052687791,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,ASJP,Individual,LRL,31,24.838709677419356,0.6581241683109256,0.8064516129032258,0.7096774193548387,0.0867532349644228,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,ASJP,Individual,MRL,28,22.857142857142858,0.6158809185124975,0.9642857142857143,0.9642857142857143,0.005846787407423589,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,Composite-Equal,Composite,HRL,5,26.0,0.7027027027027027,1.0,1.0,0.0,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,Composite-Equal,Composite,LRL,31,24.64516129032258,0.6528243013811774,0.8709677419354839,0.8387096774193549,0.05364649066183092,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,Composite-Equal,Composite,MRL,28,23.285714285714285,0.6273115220483642,0.8928571428571429,0.8571428571428571,0.012069263017820303,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,Composite-RRF,Composite,HRL,5,32.0,0.8648648648648649,1.0,1.0,0.0,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,Composite-RRF,Composite,LRL,31,31.806451612903224,0.8428853301518836,0.9032258064516129,0.8709677419354839,0.0290378263155245,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,Composite-RRF,Composite,MRL,28,31.857142857142858,0.8586161349319245,1.0,1.0,0.0,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,Genetic,Individual,HRL,5,37.0,1.0,1.0,1.0,0.0,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,Genetic,Individual,LRL,31,36.61290322580645,0.9702886247877759,0.967741935483871,0.967741935483871,0.0034562211981566775,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,Genetic,Individual,MRL,28,36.714285714285715,0.9895600487705751,1.0,1.0,0.0,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,Geographic,Individual,HRL,5,29.0,0.7837837837837838,1.0,0.8,0.00155084389452818,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,Geographic,Individual,LRL,31,28.870967741935484,0.7651310053686964,0.8387096774193549,0.8064516129032258,0.04961962925698123,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,Geographic,Individual,MRL,28,28.857142857142858,0.7778144686039423,1.0,0.75,0.0051286359645836,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,LightGBM,Trained,HRL,5,37.0,1.0,1.0,1.0,0.0,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,LightGBM,Trained,LRL,31,36.354838709677416,0.96342862387005,0.967741935483871,0.967741935483871,0.008015040569958432,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,LightGBM,Trained,MRL,28,36.75,0.9904236943710628,1.0,1.0,0.0,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,MLP,Trained,HRL,5,36.4,0.9837837837837838,1.0,1.0,0.0,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,MLP,Trained,LRL,31,37.225806451612904,0.9863947138989585,0.9354838709677419,0.9354838709677419,0.02944045952299068,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,MLP,Trained,MRL,28,36.892857142857146,0.9942338955496851,1.0,1.0,0.0,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,NNRank,NNRank,HRL,5,34.0,0.918918918918919,1.0,1.0,0.0,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,NNRank,NNRank,LRL,31,33.096774193548384,0.8772082778873951,0.967741935483871,0.967741935483871,0.008707698396991877,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,NNRank,NNRank,MRL,28,34.0,0.9163279821174558,1.0,1.0,0.0,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,Script,Individual,HRL,5,28.0,0.7567567567567568,1.0,1.0,0.0,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,Script,Individual,LRL,31,28.451612903225808,0.7540494654246777,0.8709677419354839,0.8387096774193549,0.012316393663517168,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,Script,Individual,MRL,28,28.142857142857142,0.7586364560048772,0.9285714285714286,0.8928571428571429,0.009795064233317321,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,Typological,Individual,HRL,5,37.0,1.0,1.0,1.0,0.0,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,Typological,Individual,LRL,31,36.54838709677419,0.9685908319185059,0.967741935483871,0.967741935483871,0.008015040569958432,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,Typological,Individual,MRL,28,37.0,0.9971804511278196,1.0,1.0,0.0,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,Wikipedia size,Individual,HRL,5,34.0,0.918918918918919,1.0,1.0,0.0,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,Wikipedia size,Individual,LRL,31,33.16129032258065,0.8789060707566649,0.967741935483871,0.967741935483871,0.008707698396991877,True
ud_dep_xlm-r,ud_dep,XLM-R,F1/LAS,Wikipedia size,Individual,MRL,28,34.0,0.9163279821174558,1.0,1.0,0.0,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,ASJP,Individual,HRL,5,31.2,0.8432432432432433,0.8,0.8,0.027286039750026643,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,ASJP,Individual,LRL,31,29.322580645161292,0.7768549534254119,0.9354838709677419,0.8709677419354839,0.010364858979820302,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,ASJP,Individual,MRL,28,28.785714285714285,0.7755791505791506,1.0,0.9642857142857143,0.0010074759066330393,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,Composite-Equal,Composite,HRL,5,36.0,0.972972972972973,0.8,0.8,0.027286039750026643,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,Composite-Equal,Composite,LRL,31,35.67741935483871,0.9452576515394853,0.967741935483871,0.967741935483871,0.0017060948474803548,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,Composite-Equal,Composite,MRL,28,36.0,0.970229628124365,1.0,1.0,0.0,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,Composite-RRF,Composite,HRL,5,32.0,0.8648648648648649,0.8,0.8,0.027286039750026643,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,Composite-RRF,Composite,LRL,31,31.225806451612904,0.8276051943284541,0.967741935483871,0.9354838709677419,0.0027491543152029646,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,Composite-RRF,Composite,MRL,28,31.428571428571427,0.8471855313960577,1.0,1.0,0.0,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,Genetic,Individual,HRL,5,37.0,1.0,1.0,1.0,0.0,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,Genetic,Individual,LRL,31,36.41935483870968,0.9651952461799661,0.9354838709677419,0.8064516129032258,0.006603082501549284,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,Genetic,Individual,MRL,28,36.57142857142857,0.9857498475919529,1.0,1.0,0.0,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,Geographic,Individual,HRL,5,34.0,0.918918918918919,1.0,1.0,0.0,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,Geographic,Individual,LRL,31,33.96774193548387,0.9001284816225393,0.9354838709677419,0.9354838709677419,0.010593208702102988,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,Geographic,Individual,MRL,28,34.0,0.9163279821174558,0.9642857142857143,0.8928571428571429,0.005124374988554868,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,LightGBM,Trained,HRL,5,36.6,0.9891891891891891,1.0,1.0,0.0,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,LightGBM,Trained,LRL,31,34.41935483870968,0.9122654063231314,1.0,1.0,0.0,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,LightGBM,Trained,MRL,28,34.25,0.9233895549685024,1.0,1.0,0.0,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,MLP,Trained,HRL,5,35.8,0.9675675675675677,0.8,0.8,0.027286039750026643,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,MLP,Trained,LRL,31,35.29032258064516,0.9350020648832194,0.967741935483871,0.9032258064516129,0.002804397232481626,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,MLP,Trained,MRL,28,35.714285714285715,0.9625584230847389,1.0,1.0,0.0,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,NNRank,NNRank,HRL,5,30.0,0.8108108108108109,0.8,0.8,0.027286039750026643,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,NNRank,NNRank,LRL,31,30.0,0.7949800394622127,0.8709677419354839,0.7419354838709677,0.011344797436370924,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,NNRank,NNRank,MRL,28,30.0,0.8085246901036375,1.0,1.0,0.0,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,Script,Individual,HRL,5,32.0,0.8648648648648649,0.8,0.8,0.027286039750026643,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,Script,Individual,LRL,31,32.193548387096776,0.8530720873675034,0.967741935483871,0.9032258064516129,0.00831541004450989,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,Script,Individual,MRL,28,32.142857142857146,0.8662365372891688,0.9642857142857143,0.8928571428571429,0.007022488576845597,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,Typological,Individual,HRL,5,37.0,1.0,1.0,1.0,0.0,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,Typological,Individual,LRL,31,36.774193548387096,0.9743725049327766,0.967741935483871,0.9354838709677419,0.002236277662527455,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,Typological,Individual,MRL,28,37.0,0.9971804511278196,1.0,1.0,0.0,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,Wikipedia size,Individual,HRL,5,30.0,0.8108108108108109,1.0,1.0,0.0,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,Wikipedia size,Individual,LRL,31,30.64516129032258,0.8120726838893223,0.9354838709677419,0.8709677419354839,0.007161165398472581,True
ud_pos_mt5,ud_pos,mT5,F1/LAS,Wikipedia size,Individual,MRL,28,30.357142857142858,0.8181771997561471,0.9642857142857143,0.9285714285714286,0.004461265275162129,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,ASJP,Individual,HRL,5,31.4,0.8486486486486486,0.8,0.8,0.01817569281922764,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,ASJP,Individual,LRL,31,26.612903225806452,0.7048823016564952,0.9354838709677419,0.8387096774193549,0.007782451901700493,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,ASJP,Individual,MRL,28,26.0,0.7002387726071937,1.0,0.8928571428571429,0.00098480240432195,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,Composite-Equal,Composite,HRL,5,25.2,0.681081081081081,1.0,1.0,0.0,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,Composite-Equal,Composite,LRL,31,22.741935483870968,0.6024870371220116,0.9032258064516129,0.8064516129032258,0.015892789858036976,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,Composite-Equal,Composite,MRL,28,22.5,0.6061522048364153,0.9642857142857143,0.8571428571428571,0.004405102086830354,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,Composite-RRF,Composite,HRL,5,32.0,0.8648648648648649,1.0,1.0,0.0,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,Composite-RRF,Composite,LRL,31,30.032258064516128,0.7957601064562015,0.9354838709677419,0.9032258064516129,0.009614895560333419,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,Composite-RRF,Composite,MRL,28,30.071428571428573,0.8102773826458037,1.0,0.9642857142857143,0.0007618627640733178,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,Genetic,Individual,HRL,5,36.0,0.972972972972973,1.0,1.0,0.0,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,Genetic,Individual,LRL,31,35.41935483870968,0.9386959115312257,0.9354838709677419,0.9354838709677419,0.010422608433459732,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,Genetic,Individual,MRL,28,36.0,0.970229628124365,1.0,1.0,0.0,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,Geographic,Individual,HRL,5,20.0,0.5405405405405406,1.0,1.0,0.0,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,Geographic,Individual,LRL,31,20.774193548387096,0.5503602074060477,0.967741935483871,0.8064516129032258,0.01666158758222881,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,Geographic,Individual,MRL,28,20.571428571428573,0.5542572647835806,1.0,0.7857142857142857,0.0051647970847838245,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,LightGBM,Trained,HRL,5,25.4,0.6864864864864865,1.0,1.0,0.0,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,LightGBM,Trained,LRL,31,22.387096774193548,0.5933556646629652,0.9032258064516129,0.8064516129032258,0.020743279886345917,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,LightGBM,Trained,MRL,28,23.25,0.6267526925421663,1.0,1.0,0.0,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,MLP,Trained,HRL,5,26.8,0.7243243243243244,1.0,1.0,0.0,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,MLP,Trained,LRL,31,23.451612903225808,0.6213463038590373,0.8387096774193549,0.7096774193548387,0.01898073444422568,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,MLP,Trained,MRL,28,23.357142857142858,0.6292674253200569,1.0,0.9285714285714286,0.0009214707005825786,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,NNRank,NNRank,HRL,5,16.0,0.43243243243243235,1.0,1.0,0.0,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,NNRank,NNRank,LRL,31,15.935483870967742,0.42229156151057673,0.9354838709677419,0.8387096774193549,0.02572747640734015,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,NNRank,NNRank,MRL,28,16.0,0.43121316805527327,0.9642857142857143,0.8571428571428571,0.004184876466754186,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,Script,Individual,HRL,5,24.0,0.6486486486486487,1.0,1.0,0.0,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,Script,Individual,LRL,31,22.838709677419356,0.605423759922911,0.9032258064516129,0.8064516129032258,0.008457398831390241,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,Script,Individual,MRL,28,23.357142857142858,0.62967384677911,0.8928571428571429,0.75,0.012402098778478764,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,Typological,Individual,HRL,5,35.2,0.9513513513513514,1.0,1.0,0.0,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,Typological,Individual,LRL,31,33.225806451612904,0.880649749919699,0.8709677419354839,0.8387096774193549,0.01951207328300864,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,Typological,Individual,MRL,28,34.42857142857143,0.9278093883357041,1.0,0.8928571428571429,0.0018806177707297,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,Wikipedia size,Individual,HRL,5,17.0,0.4594594594594595,1.0,1.0,0.0,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,Wikipedia size,Individual,LRL,31,19.193548387096776,0.5082136465837654,0.8709677419354839,0.7419354838709677,0.03327220445048272,True
ud_pos_xlm-r,ud_pos,XLM-R,F1/LAS,Wikipedia size,Individual,MRL,28,18.214285714285715,0.49055070107701687,0.9285714285714286,0.5714285714285714,0.012113510023997675,True
wikiann_mt5,wikiann,mT5,F1/LAS,ASJP,Individual,HRL,5,5.4,0.16363636363636364,0.8,0.6,0.01371078770224616,True
wikiann_mt5,wikiann,mT5,F1/LAS,ASJP,Individual,LRL,23,9.391304347826088,0.2766798418972332,0.7391304347826086,0.391304347826087,0.03059480360104593,True
wikiann_mt5,wikiann,mT5,F1/LAS,ASJP,Individual,MRL,28,8.5,0.25671632289279345,0.8928571428571429,0.4642857142857143,0.019013881677517684,True
