dataset,task,model,metric,method,method_type,resource,n_targets,trial_complexity,pool_fraction,near_oracle_coverage,exact_best_coverage,best_in_set_pl,large_enough_for_main_ctc
opus100_mt5,opus100,mT5,BLEU,LightGBM,Trained,MRL,26,20.0,0.7955621301775148,0.9615384615384616,0.9230769230769231,0.008405210260242253,False
opus100_mt5,opus100,mT5,BLEU,MLP,Trained,HRL,4,20.75,0.8300000000000001,1.0,1.0,0.0,False
opus100_mt5,opus100,mT5,BLEU,MLP,Trained,LRL,16,19.0,0.7307692307692307,0.9375,0.9375,0.022651237593883725,False
opus100_mt5,opus100,mT5,BLEU,MLP,Trained,MRL,26,17.884615384615383,0.7112426035502959,0.8846153846153846,0.8846153846153846,0.037586698306757774,False
opus100_mt5,opus100,mT5,BLEU,NNRank,NNRank,HRL,4,22.25,0.89,1.0,1.0,0.0,False
opus100_mt5,opus100,mT5,BLEU,NNRank,NNRank,LRL,16,21.4375,0.8245192307692307,1.0,1.0,0.0,False
opus100_mt5,opus100,mT5,BLEU,NNRank,NNRank,MRL,26,20.73076923076923,0.8244378698224852,0.9230769230769231,0.9230769230769231,0.015348216265912032,False
opus100_mt5,opus100,mT5,BLEU,Script,Individual,HRL,4,21.75,0.87,1.0,1.0,0.0,False
opus100_mt5,opus100,mT5,BLEU,Script,Individual,LRL,16,22.5,0.8653846153846155,1.0,1.0,0.0,False
opus100_mt5,opus100,mT5,BLEU,Script,Individual,MRL,26,22.73076923076923,0.903905325443787,0.8076923076923077,0.8076923076923077,0.03849589222991204,False
opus100_mt5,opus100,mT5,BLEU,Typological,Individual,HRL,4,23.0,0.9199999999999999,1.0,1.0,0.0,False
opus100_mt5,opus100,mT5,BLEU,Typological,Individual,LRL,16,21.4375,0.8245192307692308,0.875,0.875,0.038069599334919095,False
opus100_mt5,opus100,mT5,BLEU,Typological,Individual,MRL,26,20.653846153846153,0.8213609467455621,0.8076923076923077,0.8076923076923077,0.04761767864552549,False
opus100_mt5,opus100,mT5,BLEU,Wikipedia size,Individual,HRL,4,14.0,0.56,1.0,1.0,0.0,False
opus100_mt5,opus100,mT5,BLEU,Wikipedia size,Individual,LRL,16,15.625,0.6009615384615384,0.9375,0.6875,0.02904682083455786,False
opus100_mt5,opus100,mT5,BLEU,Wikipedia size,Individual,MRL,26,15.692307692307692,0.6236686390532544,0.7307692307692307,0.7307692307692307,0.09522214547132052,False
sib200_mt5,sib200,mT5,F1/LAS,ASJP,Individual,HRL,6,42.666666666666664,0.6274509803921569,1.0,0.8333333333333334,0.00179105036253735,True
sib200_mt5,sib200,mT5,F1/LAS,ASJP,Individual,LRL,39,31.307692307692307,0.4594071742409338,0.8461538461538461,0.46153846153846156,0.018969005224134,True
sib200_mt5,sib200,mT5,F1/LAS,ASJP,Individual,MRL,29,34.93103448275862,0.5136916835699796,1.0,0.6206896551724138,0.005111107819594683,True
sib200_mt5,sib200,mT5,F1/LAS,Composite-Equal,Composite,HRL,6,31.0,0.45588235294117646,1.0,0.5,0.0032208155179059075,True
sib200_mt5,sib200,mT5,F1/LAS,Composite-Equal,Composite,LRL,39,22.923076923076923,0.33647015104815614,0.8974358974358975,0.358974358974359,0.018150296321166326,True
sib200_mt5,sib200,mT5,F1/LAS,Composite-Equal,Composite,MRL,29,23.448275862068964,0.3448275862068966,1.0,0.5862068965517241,0.006118261318930238,True
sib200_mt5,sib200,mT5,F1/LAS,Composite-RRF,Composite,HRL,6,33.5,0.4926470588235294,1.0,0.6666666666666666,0.0024695259122249334,True
sib200_mt5,sib200,mT5,F1/LAS,Composite-RRF,Composite,LRL,39,24.076923076923077,0.35340568780466475,0.9230769230769231,0.38461538461538464,0.016955596984508,True
sib200_mt5,sib200,mT5,F1/LAS,Composite-RRF,Composite,MRL,29,24.689655172413794,0.36308316430020277,1.0,0.6206896551724138,0.005527300175592818,True
sib200_mt5,sib200,mT5,F1/LAS,Genetic,Individual,HRL,6,57.166666666666664,0.8406862745098039,1.0,0.8333333333333334,0.00101364464320565,True
sib200_mt5,sib200,mT5,F1/LAS,Genetic,Individual,LRL,39,41.46153846153846,0.6085808905502,0.9487179487179487,0.717948717948718,0.008590874575586747,True
sib200_mt5,sib200,mT5,F1/LAS,Genetic,Individual,MRL,29,42.48275862068966,0.6247464503042596,1.0,0.7931034482758621,0.003605677896117138,True
sib200_mt5,sib200,mT5,F1/LAS,Geographic,Individual,HRL,6,59.166666666666664,0.8700980392156862,1.0,1.0,0.0,True
sib200_mt5,sib200,mT5,F1/LAS,Geographic,Individual,LRL,39,49.07692307692308,0.72056637593722,0.9230769230769231,0.7435897435897436,0.0069788411825144,True
sib200_mt5,sib200,mT5,F1/LAS,Geographic,Individual,MRL,29,49.827586206896555,0.732758620689655,1.0,0.7586206896551724,0.0019632957205162034,True
sib200_mt5,sib200,mT5,F1/LAS,LightGBM,Trained,HRL,6,36.333333333333336,0.5343137254901961,1.0,0.8333333333333334,0.0006784755496875833,True
sib200_mt5,sib200,mT5,F1/LAS,LightGBM,Trained,LRL,39,23.641025641025642,0.3469462478413885,0.9230769230769231,0.48717948717948717,0.01340135636762234,True
sib200_mt5,sib200,mT5,F1/LAS,LightGBM,Trained,MRL,29,25.75862068965517,0.37880324543610544,1.0,0.7586206896551724,0.005143851244805858,True
sib200_mt5,sib200,mT5,F1/LAS,MLP,Trained,HRL,6,57.5,0.8455882352941176,1.0,1.0,0.0,True
sib200_mt5,sib200,mT5,F1/LAS,MLP,Trained,LRL,39,44.84615384615385,0.658360111045533,0.9230769230769231,0.7692307692307693,0.008758246468244838,True
sib200_mt5,sib200,mT5,F1/LAS,MLP,Trained,MRL,29,44.93103448275862,0.6607505070993914,1.0,0.8275862068965517,0.002220314395729317,True
sib200_mt5,sib200,mT5,F1/LAS,NNRank,NNRank,HRL,6,30.166666666666668,0.4436274509803921,1.0,0.6666666666666666,0.002542339968218324,True
sib200_mt5,sib200,mT5,F1/LAS,NNRank,NNRank,LRL,39,29.333333333333332,0.4306074715281876,0.9487179487179487,0.5897435897435898,0.009765772366073745,True
sib200_mt5,sib200,mT5,F1/LAS,NNRank,NNRank,MRL,29,28.586206896551722,0.4203853955375253,1.0,0.896551724137931,0.0013297682328408896,True
sib200_mt5,sib200,mT5,F1/LAS,Script,Individual,HRL,6,17.833333333333332,0.2622549019607843,1.0,0.5,0.004316554698116607,True
sib200_mt5,sib200,mT5,F1/LAS,Script,Individual,LRL,39,18.41025641025641,0.2702089754519422,0.8974358974358975,0.41025641025641024,0.01810331629694548,True
sib200_mt5,sib200,mT5,F1/LAS,Script,Individual,MRL,29,18.79310344827586,0.27636916835699793,1.0,0.5517241379310345,0.007560939811464238,True
sib200_mt5,sib200,mT5,F1/LAS,Typological,Individual,HRL,6,31.166666666666668,0.45833333333333326,1.0,0.3333333333333333,0.012787054929499166,True
sib200_mt5,sib200,mT5,F1/LAS,Typological,Individual,LRL,39,21.692307692307693,0.3184252519290882,0.8974358974358975,0.3333333333333333,0.01975974405370216,True
sib200_mt5,sib200,mT5,F1/LAS,Typological,Individual,MRL,29,21.82758620689655,0.3209939148073022,0.9655172413793104,0.5172413793103449,0.009747563044356438,True
sib200_mt5,sib200,mT5,F1/LAS,Wikipedia size,Individual,HRL,6,33.0,0.4852941176470588,1.0,0.6666666666666666,0.0032090357006833666,True
sib200_mt5,sib200,mT5,F1/LAS,Wikipedia size,Individual,LRL,39,32.8974358974359,0.48288412354908516,0.8717948717948718,0.46153846153846156,0.017590938406771634,True
sib200_mt5,sib200,mT5,F1/LAS,Wikipedia size,Individual,MRL,29,33.0,0.4852941176470588,1.0,0.6896551724137931,0.00444508980199518,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,ASJP,Individual,HRL,6,56.333333333333336,0.8284313725490197,1.0,0.8333333333333334,0.0011770203617104333,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,ASJP,Individual,LRL,39,50.15384615384615,0.7361958161190898,0.8717948717948718,0.7692307692307693,0.017974973103999963,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,ASJP,Individual,MRL,29,49.89655172413793,0.7337728194726167,1.0,0.7931034482758621,0.002286317077554555,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,Composite-Equal,Composite,HRL,6,59.5,0.875,1.0,0.8333333333333334,0.0008416533020457,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,Composite-Equal,Composite,LRL,39,59.84615384615385,0.8784237217741054,0.9743589743589743,0.9487179487179487,0.0021836899307202742,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,Composite-Equal,Composite,MRL,29,59.758620689655174,0.8788032454361054,1.0,0.9655172413793104,0.0005913719366142414,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,Composite-RRF,Composite,HRL,6,58.0,0.8529411764705883,1.0,1.0,0.0,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,Composite-RRF,Composite,LRL,39,58.69230769230769,0.8614553959822502,0.9743589743589743,0.9230769230769231,0.0024090040973485617,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,Composite-RRF,Composite,MRL,29,58.51724137931034,0.8605476673427992,1.0,0.9655172413793104,0.0005913719366142414,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,Genetic,Individual,HRL,6,65.83333333333333,0.9681372549019608,1.0,1.0,0.0,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,Genetic,Individual,LRL,39,65.87179487179488,0.9668994688176274,0.9743589743589743,0.9743589743589743,0.001359837696869377,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,Genetic,Individual,MRL,29,65.86206896551724,0.9685598377281947,1.0,1.0,0.0,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,Geographic,Individual,HRL,6,66.33333333333333,0.9754901960784313,1.0,1.0,0.0,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,Geographic,Individual,LRL,39,65.43589743589743,0.9605056069250443,0.9487179487179487,0.9487179487179487,0.003477860527511508,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,Geographic,Individual,MRL,29,65.41379310344827,0.9619675456389452,1.0,1.0,0.0,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,LightGBM,Trained,HRL,6,27.666666666666668,0.40686274509803916,1.0,0.3333333333333333,0.008119144868306167,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,LightGBM,Trained,LRL,39,22.0,0.3229064200931208,0.8974358974358975,0.5897435897435898,0.02230598040649819,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,LightGBM,Trained,MRL,29,21.448275862068964,0.31541582150101416,1.0,0.5517241379310345,0.004164041146832362,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,MLP,Trained,HRL,6,39.0,0.573529411764706,1.0,0.6666666666666666,0.0012425000682268,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,MLP,Trained,LRL,39,33.717948717948715,0.4952291953570726,0.9743589743589743,0.6923076923076923,0.009195412816641813,True
sib200_xlm-r,sib200,XLM-R,F1/LAS,MLP,Trained,MRL,29,35.758620689655174,0.5258620689655172,1.0,0.8275862068965517,0.0015815629426293553,True
