method,hrl->hrl,hrl->mrl,hrl->lrl,mrl->hrl,mrl->mrl,mrl->lrl,lrl->hrl,lrl->mrl,lrl->lrl,*->hrl,*->mrl,*->lrl
random,,,,22.742696107364203,13.209066610474984,26.80686227241344,21.167151516494854,19.800253110644615,34.67598015411814,22.06746271127734,13.86818526049195,28.61675938520552
single_new_gen,12.202132823726652,31.629848480140677,35.079381103024694,,6.4232400310398186,10.452682313755798,17.16188796951006,30.774139209412805,14.219767559858868,15.036278621317175,19.485567612672195,23.728044893042515
single_new_typ,,12.292183641093617,33.564770857675974,9.425288641094355,6.63396628181972,26.09496826168674,17.864131938413475,17.90017821570626,33.011248072638324,14.247484810990994,11.00025119100902,30.33050462991833
single_new_geo,9.1588888960479,22.32507010634974,26.776913026552958,8.375702350546574,11.628876021089797,24.827571526197513,34.017263407731924,50.61333358053213,30.75067941672073,23.13990674686696,23.85902299318549,28.340196928820628
single_script,,44.92645906714561,64.96394156241031,50.900561596507764,15.665638494262845,21.870890514391185,26.45602013576831,25.07869330947719,26.032386895625326,33.440174838836725,25.12977611583918,27.785670682259646
single_distals_asjp,0.0,20.535028633736935,32.50114664209352,9.399419408704192,7.586575627416575,18.95454806792407,21.21146533375728,28.032398126768683,21.089718455048537,16.493820868212943,13.856599465054426,22.132889684253904
single_distals_wiki_size,16.438777216005853,32.67908105397258,,18.65583163357919,21.72345198252221,14.856422510534607,,34.5701095230837,32.44564004468457,17.388943394965853,25.841576427896506,30.686718291269578
composite_equal,0.0,24.133217008493766,10.776298751784275,6.89120409286943,9.885442325366986,11.322889776751426,0.0,26.247608495053043,19.337674125995733,4.922288637763878,14.476933453288915,16.986057113466526
rrf_equal,30.411928352167482,24.90937846276111,26.102898103547034,8.399494987516457,6.464635973914515,11.646235881329096,,23.498404588051596,16.45096996011986,14.688761663131036,11.680589598758853,16.4063194181996
lightgbm_lambdarank,1.129258484976507,20.509489830535223,26.109972877683408,14.352056081092224,8.388948130957516,17.962817029249486,0.0,32.43552182025958,21.335502167300493,10.412791270062517,16.223535550966023,20.671927431335316
mlp_listnet,0.0,23.14933549275255,27.07658714441971,10.041099571011042,8.060691504827929,16.452551969580504,23.636739844448037,23.49633423215701,19.708594631270945,12.49112542470575,13.042575517269434,19.607381862443987
