method,hrl->hrl,hrl->mrl,hrl->lrl,mrl->hrl,mrl->mrl,mrl->lrl,lrl->hrl,lrl->mrl,lrl->lrl,*->hrl,*->mrl,*->lrl
random,,3.7680100162504533,9.047110862850696,40.898845768600914,18.079991122190307,17.709119550331838,,,,40.898845768600914,12.355198679814364,13.378115206591264
single_new_gen,,14.639053752174563,42.8563925516113,40.898845768600914,,,,,5.68297627455251,40.898845768600914,14.639053752174563,24.269684413081904
single_new_typ,,,,8.63838524411752,6.905716142682373,10.052537279182673,,21.716494773427,,8.63838524411752,9.8678718688313,10.052537279182673
single_new_geo,,,,0.0,16.154418957912352,19.28509679335258,,21.716494773427,5.68297627455251,0.0,17.26683412101528,12.484036533952544
single_script,,6.129615896659091,,8.63838524411752,13.811432285364747,10.052537279182673,,14.887448773801593,,8.63838524411752,12.705475602998357,10.052537279182673
single_distals_asjp,,5.446948903202366,,0.0,20.87421211778348,28.735301517570576,,20.05087572419235,,0.0,17.459424917430805,28.735301517570576
single_distals_wiki_size,,,,0.0,13.699695120614761,15.597517345130635,,21.716494773427,,0.0,15.303055051177205,15.597517345130635
composite_equal,,,,0.0,9.49263706380721,19.28509679335258,,21.716494773427,5.68297627455251,0.0,11.937408605731168,12.484036533952544
rrf_equal,,,,0.0,15.282854228132676,19.28509679335258,,21.716494773427,5.68297627455251,0.0,16.56958233719154,12.484036533952544
lightgbm_lambdarank,,5.446948903202366,,1.9245021737020862,5.249717007863664,15.597517345130635,,21.716494773427,,1.9245021737020862,8.582518940044071,15.597517345130635
mlp_listnet,,5.446948903202366,,0.0,14.38610640403273,19.28509679335258,,18.385256674957695,5.68297627455251,0.0,13.398104958051652,12.484036533952544
nnrank,,3.7680100162504533,,1.9245021737020862,41.88484879874769,10.052537279182673,,10.8582473867135,,1.9245021737020862,14.227472720935117,10.052537279182673
