dataset,task,model,model_name,metric,metric_name,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Always English,performance_loss_pct,-3.0981080152476634,-6.8481546083782305,1.1952634954626142,0.1481,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Composite-Equal,performance_loss_pct,0.589816195255442,-3.3410375121155385,4.497344836441503,0.7584,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Composite-RRF,performance_loss_pct,0.2882910551330146,-3.9273314103179264,4.513049056868955,0.8946,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Genetic,performance_loss_pct,0.5523908288901557,-2.56299829464233,3.917185173193314,0.7455,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Geographic,performance_loss_pct,0.7170018844081038,-4.425549552326869,5.984424096636275,0.7813,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,LightGBM,performance_loss_pct,4.43268789552934,-0.1789463214216596,9.325582242891851,0.0615,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,MLP,performance_loss_pct,3.368112398618062,-1.4129990054782908,8.341419731657476,0.1675,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,NNRank,performance_loss_pct,0.78073245187629,-3.485201049403166,5.146109016209244,0.7235,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Script,performance_loss_pct,2.2975502075753838,-2.332342829567215,7.101818535017486,0.3247,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Typological,performance_loss_pct,-1.238280769692357,-6.406579564974458,3.983043056987073,0.6497,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Wikipedia size,performance_loss_pct,-1.1901617309429504,-6.104670103122382,3.767801815669212,0.629,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Always English,Composite-Equal,performance_loss_pct,3.6879242105031054,-0.33378574328303406,7.251113579663573,0.0712,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Always English,Composite-RRF,performance_loss_pct,3.386399070380678,-0.4715510204749657,6.745083551430699,0.0847,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Always English,Genetic,performance_loss_pct,3.65049884413782,0.07084769556899705,6.712067631473095,0.0467,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Always English,Geographic,performance_loss_pct,3.8151098996557677,0.036426841920485904,7.279129274945323,0.0473,74
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Always English,LightGBM,performance_loss_pct,7.530795910777006,4.243713330773037,10.547879827193823,0.0,74
