dataset,task,model,model_name,metric,metric_name,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Genetic,MLP,performance_loss_pct,2.647618940217543,-0.4226802183871535,5.738381717415941,0.0919,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Genetic,Script,performance_loss_pct,4.406060028577797,1.4702649496519504,7.415802966736954,0.0037,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Genetic,Typological,performance_loss_pct,0.04231629502480796,-3.4763341584204484,3.5876694395255195,0.9734,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Genetic,Wikipedia size,performance_loss_pct,-0.9376837787575467,-4.868703284239827,2.9701997060370458,0.6464,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Geographic,LightGBM,performance_loss_pct,-1.901994636973078,-4.625745204340534,0.7439267052098328,0.1649,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Geographic,MLP,performance_loss_pct,-0.02401654694999138,-3.2057554995121142,3.1264183974023227,0.9942,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Geographic,Script,performance_loss_pct,1.7344245414102635,-1.1084262175219,4.564784767040222,0.2269,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Geographic,Typological,performance_loss_pct,-2.629319192142727,-5.796523516672416,0.5345929599283371,0.1107,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Geographic,Wikipedia size,performance_loss_pct,-3.609319265925081,-7.254492244800787,-0.01538792699991284,0.0488,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,LightGBM,MLP,performance_loss_pct,1.8779780900230862,-1.5193349406637044,5.2475066442891105,0.2764,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,LightGBM,Script,performance_loss_pct,3.636419178383341,0.5487207524353274,6.808371019270288,0.0218,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,LightGBM,Typological,performance_loss_pct,-0.7273245551696491,-4.254404703916291,2.8836119015574293,0.6922,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,LightGBM,Wikipedia size,performance_loss_pct,-1.707324628952004,-5.588592513980558,2.180764982201809,0.3967,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,MLP,Script,performance_loss_pct,1.758441088360255,-0.5624685765372032,4.163382367118475,0.1475,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,MLP,Typological,performance_loss_pct,-2.6053026451927352,-5.784214964816148,0.6387411925381361,0.1167,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,MLP,Wikipedia size,performance_loss_pct,-3.5853027189750892,-7.102378403473155,-0.08967946771577903,0.0447,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Script,Typological,performance_loss_pct,-4.36374373355299,-7.710991816866405,-1.0485225952174346,0.0099,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Script,Wikipedia size,performance_loss_pct,-5.343743807335344,-8.581221796268043,-2.1447108539212016,0.001,185
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Typological,Wikipedia size,performance_loss_pct,-0.9800000737823552,-4.800452939205012,2.8630919326138837,0.6106,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Always English,performance_loss_pct,15.518605759820678,11.484848479841062,19.765148383649233,0.0,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Composite-Equal,performance_loss_pct,0.6087603837494328,-3.3106672496180214,4.546221894881089,0.7592,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Composite-RRF,performance_loss_pct,-0.4389246302791201,-4.5546306294681305,3.7014897980668464,0.8269,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Genetic,performance_loss_pct,4.631965968328352,1.3658117396849039,8.066955378834365,0.0046,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Geographic,performance_loss_pct,-2.907241967614541,-7.436517938636623,1.581857111840913,0.2077,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,LightGBM,performance_loss_pct,3.5690932139732676,-3.0329423661221804,10.045008979983697,0.2758,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,MLP,performance_loss_pct,-5.779893360623152,-10.004544258342907,-1.643050883720696,0.0055,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Script,performance_loss_pct,1.5429438353763123,-4.220378314755259,7.138518558948623,0.6024,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Typological,performance_loss_pct,0.8652841517222011,-3.724925782235691,5.3723856672017085,0.7203,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Wikipedia size,performance_loss_pct,-6.006115983267016,-11.560158067657373,-0.4887607867441608,0.0341,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Always English,Composite-Equal,performance_loss_pct,-14.909845376071246,-18.937123996125283,-11.00715389483175,0.0,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Always English,Composite-RRF,performance_loss_pct,-15.957530390099798,-20.173961858236336,-11.987221484722191,0.0,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Always English,Genetic,performance_loss_pct,-10.886639791492325,-14.476199579591698,-7.57651677315005,0.0,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Always English,Geographic,performance_loss_pct,-18.425847727435215,-22.84916223052964,-14.143296820855765,0.0,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Always English,LightGBM,performance_loss_pct,-11.949512545847407,-16.655352807064265,-7.49498922064241,0.0,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Always English,MLP,performance_loss_pct,-21.29849912044383,-26.135799676886645,-16.679225902048966,0.0,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Always English,Script,performance_loss_pct,-13.975661924444363,-18.30482600714316,-9.955684922930763,0.0,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Always English,Typological,performance_loss_pct,-14.653321608098477,-18.684280471589137,-10.875159698815997,0.0,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Always English,Wikipedia size,performance_loss_pct,-21.524721743087696,-25.86602041694508,-17.335302582170524,0.0,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Composite-RRF,performance_loss_pct,-1.0476850140285525,-3.423845134477521,1.3356232957668948,0.3794,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Genetic,performance_loss_pct,4.0232055845789185,0.6694352862862576,7.519046236237344,0.0158,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Geographic,performance_loss_pct,-3.5160023513639733,-7.983575320867397,0.8949323777688468,0.1181,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,LightGBM,performance_loss_pct,2.960332830223835,-3.0800456010885258,8.935900337705252,0.3297,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,MLP,performance_loss_pct,-6.388653744372585,-10.864273108116267,-1.9993160436609243,0.0043,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Script,performance_loss_pct,0.9341834516268797,-4.907995766193447,6.594680597707968,0.7514,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Typological,performance_loss_pct,0.2565237679727685,-4.085216057073117,4.553403202882442,0.9151,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Wikipedia size,performance_loss_pct,-6.614876367016447,-11.948749061149925,-1.386124584355423,0.0143,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Genetic,performance_loss_pct,5.070890598607471,1.4782217544644118,8.752550443905397,0.0045,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Geographic,performance_loss_pct,-2.468317337335421,-6.8124822483181235,1.7918363429304462,0.2602,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,LightGBM,performance_loss_pct,4.008017844252388,-2.149233656477862,10.205177834321479,0.2022,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,MLP,performance_loss_pct,-5.340968730344033,-10.17242156956141,-0.5394720734571424,0.0305,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Script,performance_loss_pct,1.9818684656554315,-3.7684205090010363,7.682920890027435,0.4966,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Typological,performance_loss_pct,1.3042087820013206,-3.1253402595774893,5.680558826932609,0.5625,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Wikipedia size,performance_loss_pct,-5.567191352987894,-10.576317030710415,-0.5387597040453075,0.0305,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Geographic,performance_loss_pct,-7.53920793594289,-11.943801933918119,-3.2979703696593217,0.0002,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,LightGBM,performance_loss_pct,-1.0628727543550824,-6.9607860072087515,4.844463725075405,0.7237,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,MLP,performance_loss_pct,-10.411859328951504,-15.060464708475132,-5.934876069044695,0.0,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Script,performance_loss_pct,-3.089022132952039,-8.627355416272039,2.317931230200722,0.2672,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Typological,performance_loss_pct,-3.766681816606149,-7.559001934959136,-0.15489989803060114,0.0409,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Wikipedia size,performance_loss_pct,-10.638081951595366,-15.414255297599667,-6.074141425656232,0.0,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,LightGBM,performance_loss_pct,6.4763351815878085,0.002987462704324459,12.867221816852139,0.0497,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,MLP,performance_loss_pct,-2.8726513930086117,-8.619286304663051,2.8913051612623755,0.3255,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,Script,performance_loss_pct,4.450185802990852,-1.562006087220415,10.289224033685306,0.1479,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,Typological,performance_loss_pct,3.7725261193367405,-1.1755625025996308,8.802780404379424,0.1365,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,Wikipedia size,performance_loss_pct,-3.098874015652474,-8.434789530668652,2.2087041257870816,0.2545,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM,MLP,performance_loss_pct,-9.34898657459642,-15.340955738115682,-3.3958170919315456,0.0023,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM,Script,performance_loss_pct,-2.0261493785969553,-7.923019535285346,3.8809720923584057,0.4921,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM,Typological,performance_loss_pct,-2.703809062251067,-8.6011223239953,3.285250007561906,0.3612,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM,Wikipedia size,performance_loss_pct,-9.575209197240286,-15.66102189202198,-3.327184169737362,0.0035,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,MLP,Script,performance_loss_pct,7.3228371959994645,0.8664659601790506,13.673583641018153,0.0253,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,MLP,Typological,performance_loss_pct,6.645177512345353,1.4034130801260656,11.901662446287988,0.0127,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,MLP,Wikipedia size,performance_loss_pct,-0.22622262264386273,-6.28230975812286,5.838422060446611,0.943,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Script,Typological,performance_loss_pct,-0.6776596836541109,-6.671541066189428,5.391411687049687,0.825,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Script,Wikipedia size,performance_loss_pct,-7.549059818643326,-13.40493441488556,-1.6484376116511146,0.0125,185
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Typological,Wikipedia size,performance_loss_pct,-6.871400134989216,-11.97701637586644,-1.8512858396783445,0.0078,185
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,ASJP,Always English,performance_loss_pct,-1.5822019016775026,-3.289100071203727,0.11087002373491409,0.0687,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,ASJP,Composite-Equal,performance_loss_pct,20.934734223327776,18.79590263645019,23.0170426860789,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,ASJP,Composite-RRF,performance_loss_pct,19.75872672664977,17.6004155046201,21.909321216039704,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,ASJP,Genetic,performance_loss_pct,-2.797746714607966,-4.520455115787243,-1.0412871341154721,0.0013,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,ASJP,Geographic,performance_loss_pct,7.3054392884443295,5.06231163045963,9.499510905643252,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,ASJP,LightGBM,performance_loss_pct,36.758867905443864,34.54485925907155,38.94809973375822,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,ASJP,MLP,performance_loss_pct,20.415233439118783,17.985822421935907,22.770375653675945,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,ASJP,Script,performance_loss_pct,5.688553153740931,3.8443903317183166,7.522901298661003,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,ASJP,Typological,performance_loss_pct,1.3188878498274337,-0.6677729796816811,3.2718084492428936,0.195,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,ASJP,Wikipedia size,performance_loss_pct,1.8698078970586511,0.07527150902414433,3.6719885191939876,0.0416,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Always English,Composite-Equal,performance_loss_pct,22.516936125005284,20.44331626500777,24.53239020937594,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Always English,Composite-RRF,performance_loss_pct,21.340928628327273,19.27954077570884,23.352978014641526,0.0,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Always English,Genetic,performance_loss_pct,-1.215544812930464,-2.4742495777096765,0.027940347714247332,0.0567,762
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Always English,Geographic,performance_loss_pct,8.887641190121832,6.768830789101636,11.009009994607757,0.0,762
