model,resource,oracle_score,source_sd,oracle_minus_median,mean_sources,n_dataset_cells
XLM-R,HRL,70.52895571421178,13.617351443603718,17.641795537427143,55.625,8
XLM-R,LRL,55.463794491299055,9.184593872253675,15.791183170303329,61.857142857142854,7
XLM-R,MRL,73.19852130083743,14.159029737414555,17.179848362831024,55.625,8
mT5,HRL,68.9547037160385,12.295161187792356,14.660457335841143,53.142857142857146,7
mT5,LRL,59.379167554079004,9.058864683963478,13.456510458940093,60.0,6
mT5,MRL,68.97823478199149,12.400735127466223,15.104301767535933,53.142857142857146,7
