dataset,task,model,english_available,n_targets_full,n_targets_with_english,used_in_with_english,reason
masakhaner_mt5,masakhaner,mT5,False,19,0,False,no English transfer source
masakhaner_xlm-r,masakhaner,XLM-R,False,19,0,False,no English transfer source
opus100_mt5,opus100,mT5,False,87,0,False,no English transfer source
sib200_mt5,sib200,mT5,True,185,185,True,
sib200_xlm-r,sib200,XLM-R,True,185,185,True,
taxi1500_mt5,taxi1500,mT5,True,762,762,True,
taxi1500_xlm-r,taxi1500,XLM-R,True,762,762,True,
tydiqa_mt5,tydiqa,mT5,True,9,9,True,
tydiqa_xlm-r,tydiqa,XLM-R,True,9,9,True,
ud_dep_xlm-r,ud_dep,XLM-R,True,147,147,True,
ud_pos_mt5,ud_pos,mT5,True,147,147,True,
ud_pos_xlm-r,ud_pos,XLM-R,True,147,147,True,
wikiann_mt5,wikiann,mT5,True,144,144,True,
wikiann_xlm-r,wikiann,XLM-R,True,144,144,True,
xnli_mt5,xnli,mT5,True,15,15,True,
xnli_xlm-r,xnli,XLM-R,True,15,15,True,
xquad_mt5,xquad,mT5,True,12,12,True,
xquad_xlm-r,xquad,XLM-R,True,12,12,True,
