method,hrl->hrl,hrl->mrl,hrl->lrl,mrl->hrl,mrl->mrl,mrl->lrl,lrl->hrl,lrl->mrl,lrl->lrl,*->hrl,*->mrl,*->lrl
random,0.0,10.41885102131041,57.99409109744488,19.54156918755184,36.819660561508826,48.46524050666599,,,,17.09887303910786,33.04811634148048,50.2371342115629
single_new_gen,9.538448133633413,9.876434227237219,61.59138267322536,58.7357910912874,35.55854327772472,38.23716308498094,,4.077474324245223,55.75896512728363,27.987451742753656,23.427601222034383,60.09611250011312
single_new_typ,15.265478182837327,20.922240887867485,27.23235985462658,34.43895435454904,47.4276646207192,49.51825334851055,,25.433139271202265,60.993045997567805,29.645585311621108,45.695523582063174,54.898257909573836
single_new_geo,7.799730420779767,14.198164526332777,17.05241463063332,33.19004665824505,33.95872599128544,57.81547711294828,,11.391683606965904,,23.668678069195572,30.129359916897435,49.28106182739473
single_script,10.69614715390984,15.18520395726341,42.40936221473502,45.70084491551796,27.732716174063277,51.520276963266966,,4.077474324245223,31.565054198522347,41.32525769531694,25.095384362741225,50.97770909068865
single_distals_asjp,10.03813376709607,12.30006206408714,62.83639696551877,35.661071448200346,34.674407354492985,54.48844279943751,,17.087525410448855,57.33129015655557,29.255337027924284,30.22186645986043,56.88362557797569
single_distals_wiki_size,8.474848645335422,3.516841319576115,,43.31784982803595,44.3862584633887,54.74912135038921,,30.87707966981496,,25.896349236685683,35.640736245539266,54.74912135038921
composite_equal,8.114844977776519,10.476099309751296,24.635424916160584,40.46299876131876,35.12598499464639,39.60452882524833,,17.087525410448855,58.155609104020776,28.332441092490413,31.19646441525066,34.88338721235142
rrf_equal,11.044836036273594,11.378370801266131,24.476364840714094,29.7001386370891,33.47974858726993,39.96360219967833,,19.86939669736666,62.10268417460143,20.37248733668135,29.653491836279887,36.26493070370995
lightgbm_lambdarank,14.586454485004358,13.098065679652645,16.237358003211938,37.610649480524934,37.690674616068094,18.810176289965714,10.488373157565352,13.525736357935351,38.36122370376047,31.342340565714917,26.31849946826264,18.429549687499378
mlp_listnet,10.69614715390984,12.425634710094705,20.21608946987267,52.15131014766654,46.32993215630248,37.43348640112154,,13.060897958330681,30.60503660771937,46.96941477344695,34.266630443245134,35.10487365771748
